_neo4jInternalId,chapter_id,chapterstandardmapId,competency_standard_id,displayLabel
374151,8560,1,1,ChapterStandardMap:8560
374152,8560,2,12,ChapterStandardMap:8560
374153,8560,3,9,ChapterStandardMap:8560
374154,8560,4,34,ChapterStandardMap:8560
374155,8560,5,35,ChapterStandardMap:8560
374156,8560,6,36,ChapterStandardMap:8560
374157,8560,7,37,ChapterStandardMap:8560
374158,8561,8,3,ChapterStandardMap:8561
374159,8561,9,15,ChapterStandardMap:8561
374160,8561,10,9,ChapterStandardMap:8561
374161,8561,11,34,ChapterStandardMap:8561
374162,8561,12,35,ChapterStandardMap:8561
374163,8561,13,36,ChapterStandardMap:8561
374164,8561,14,37,ChapterStandardMap:8561
374165,8562,15,11,ChapterStandardMap:8562
374166,8562,16,40,ChapterStandardMap:8562
374167,8562,17,31,ChapterStandardMap:8562
374168,8562,18,9,ChapterStandardMap:8562
374169,8562,19,34,ChapterStandardMap:8562
374170,8562,20,35,ChapterStandardMap:8562
374171,8562,21,36,ChapterStandardMap:8562
374172,8562,22,37,ChapterStandardMap:8562
374173,8563,23,7,ChapterStandardMap:8563
374174,8563,24,28,ChapterStandardMap:8563
374175,8563,25,9,ChapterStandardMap:8563
374176,8563,26,34,ChapterStandardMap:8563
374177,8563,27,35,ChapterStandardMap:8563
374178,8563,28,36,ChapterStandardMap:8563
374179,8563,29,37,ChapterStandardMap:8563
374180,8564,30,3,ChapterStandardMap:8564
374181,8564,31,15,ChapterStandardMap:8564
374182,8564,32,31,ChapterStandardMap:8564
374183,8564,33,9,ChapterStandardMap:8564
374184,8564,34,34,ChapterStandardMap:8564
374185,8564,35,35,ChapterStandardMap:8564
374186,8564,36,36,ChapterStandardMap:8564
374187,8564,37,37,ChapterStandardMap:8564
374188,8565,38,5,ChapterStandardMap:8565
374189,8565,39,21,ChapterStandardMap:8565
374190,8565,40,9,ChapterStandardMap:8565
374191,8565,41,34,ChapterStandardMap:8565
374192,8565,42,35,ChapterStandardMap:8565
374193,8565,43,36,ChapterStandardMap:8565
374194,8565,44,37,ChapterStandardMap:8565
374195,8566,45,7,ChapterStandardMap:8566
374196,8566,46,27,ChapterStandardMap:8566
374197,8566,47,29,ChapterStandardMap:8566
374198,8567,48,7,ChapterStandardMap:8567
374199,8567,49,27,ChapterStandardMap:8567
374200,8567,50,29,ChapterStandardMap:8567
374201,8567,51,9,ChapterStandardMap:8567
374202,8567,52,34,ChapterStandardMap:8567
374203,8567,53,35,ChapterStandardMap:8567
374204,8567,54,36,ChapterStandardMap:8567
374205,8567,55,37,ChapterStandardMap:8567
374206,8568,56,5,ChapterStandardMap:8568
374207,8568,57,17,ChapterStandardMap:8568
374208,8568,58,29,ChapterStandardMap:8568
374209,8569,59,5,ChapterStandardMap:8569
374210,8569,60,18,ChapterStandardMap:8569
374211,8569,61,29,ChapterStandardMap:8569
374212,8570,62,5,ChapterStandardMap:8570
374213,8570,63,29,ChapterStandardMap:8570
374214,8570,64,9,ChapterStandardMap:8570
374215,8570,65,34,ChapterStandardMap:8570
374216,8570,66,35,ChapterStandardMap:8570
374217,8570,67,36,ChapterStandardMap:8570
374218,8570,68,37,ChapterStandardMap:8570
374219,8571,69,4,ChapterStandardMap:8571
374220,8571,70,23,ChapterStandardMap:8571
374221,8571,71,9,ChapterStandardMap:8571
374222,8571,72,34,ChapterStandardMap:8571
374223,8571,73,35,ChapterStandardMap:8571
374224,8571,74,36,ChapterStandardMap:8571
374225,8571,75,37,ChapterStandardMap:8571
374226,8572,76,4,ChapterStandardMap:8572
374227,8572,77,23,ChapterStandardMap:8572
374228,8572,78,9,ChapterStandardMap:8572
374229,8572,79,34,ChapterStandardMap:8572
374230,8572,80,35,ChapterStandardMap:8572
374231,8572,81,36,ChapterStandardMap:8572
374232,8572,82,37,ChapterStandardMap:8572
374233,8573,83,6,ChapterStandardMap:8573
374234,8573,84,25,ChapterStandardMap:8573
374235,8573,85,9,ChapterStandardMap:8573
374236,8573,86,34,ChapterStandardMap:8573
374237,8573,87,35,ChapterStandardMap:8573
374238,8573,88,36,ChapterStandardMap:8573
374239,8573,89,37,ChapterStandardMap:8573
374240,8574,90,6,ChapterStandardMap:8574
374241,8574,91,26,ChapterStandardMap:8574
374242,8574,92,9,ChapterStandardMap:8574
374243,8574,93,34,ChapterStandardMap:8574
374244,8574,94,35,ChapterStandardMap:8574
374245,8574,95,36,ChapterStandardMap:8574
374246,8574,96,37,ChapterStandardMap:8574
