_neo4jInternalId,board,curriculumId,curriculum_name,displayLabel,framework,internal_marks,standard_id,status,sub_institute_id,subject_id,syear,total_marks
373952,CBSE,66,"CBSE Mathematics Curriculum 2026","Curriculum:CBSE Mathematics Curriculum 2026","NCF-SE 2023",20,41,active,1,3977,2026,80
386441,,1,"Maths Curriculam from CBSE","Curriculum:Maths Curriculam from CBSE",,,45,active,1,3976,,
386442,,2,"11-Mathematics Curriculum","Curriculum:11-Mathematics Curriculum",,,44,active,1,3976,,
386443,,31,"Social Sciences","Curriculum:Social Sciences",,,42,active,1,4064,,
386444,,32,Science,Curriculum:Science,,,42,active,1,3975,,
386445,,33,Mathematics,Curriculum:Mathematics,,,42,active,1,3976,,
386446,,34,English-2,Curriculum:English-2,,,42,active,1,4435,,
386447,,35,"Social Sciences","Curriculum:Social Sciences",,,43,active,1,4064,,
386448,,36,Science,Curriculum:Science,,,43,active,1,3975,,
386449,,37,Mathematics,Curriculum:Mathematics,,,43,active,1,3976,,
386450,,38,English-2,Curriculum:English-2,,,43,active,1,4435,,
386451,,39,Physics,Curriculum:Physics,,,44,active,1,3975,,
386452,,40,Chemistry,Curriculum:Chemistry,,,44,active,1,4119,,
386453,,41,Biology,Curriculum:Biology,,,44,active,1,4106,,
386454,,42,History,Curriculum:History,,,44,active,1,4480,,
386455,,43,Geography,Curriculum:Geography,,,44,active,1,4481,,
386456,,44,"Computer Science","Curriculum:Computer Science",,,44,active,1,4046,,
386457,,45,"Informatics Practices","Curriculum:Informatics Practices",,,44,active,1,4044,,
386458,,46,Accountancy,Curriculum:Accountancy,,,44,active,1,4482,,
386459,,47,Economics,Curriculum:Economics,,,44,active,1,4472,,
386460,,48,"Business Studies","Curriculum:Business Studies",,,44,active,1,4483,,
386461,,49,Physics,Curriculum:Physics,,,45,active,1,3975,,
386462,,50,Chemistry,Curriculum:Chemistry,,,45,active,1,4119,,
386463,,51,Biology,Curriculum:Biology,,,45,active,1,4106,,
386464,,52,History,Curriculum:History,,,45,active,1,4480,,
386465,,53,Geography,Curriculum:Geography,,,45,active,1,4481,,
386466,,54,"Computer Science","Curriculum:Computer Science",,,45,active,1,4046,,
386467,,55,"Informatics Practices","Curriculum:Informatics Practices",,,45,active,1,4044,,
386468,,56,Accountancy,Curriculum:Accountancy,,,45,active,1,4482,,
386469,,57,Economics,Curriculum:Economics,,,45,active,1,4472,,
386470,,58,"Business Studies","Curriculum:Business Studies",,,45,active,1,4483,,
