_neo4jInternalId,chapter_id,lessonId,lesson_title,standard_id,sub_institute_id,subject_id,teacher_id
374711,27,2,,39,1,3975,
374712,4657,3,,39,1,3975,
374713,4658,4,,39,1,3975,
374714,31,5,,39,1,3975,
374715,4659,6,,39,1,3975,
374716,33,7,,39,1,3975,
374717,4660,8,,39,1,3975,
374718,35,9,,39,1,3975,
374719,36,10,,39,1,3975,
374720,37,11,,39,1,3975,
374721,971,12,,39,1,3975,
374722,4664,13,,39,1,3975,
374723,4665,14,,39,1,3975,
374724,934,15,,42,1,3976,
374725,938,16,,42,1,3976,
374726,939,17,,42,1,3976,
374727,941,18,,42,1,3976,
374728,942,19,,42,1,3976,
374729,944,20,,42,1,3976,
374730,945,21,,42,1,3976,
374731,946,22,,42,1,3976,
374732,947,23,,42,1,3976,
374733,5475,28,,42,1,4472,
374734,5474,29,,42,1,4472,
374735,5473,30,,42,1,4472,
374736,5472,31,,42,1,4472,
374737,5462,48,,40,1,4470,
374738,5470,49,,40,1,4470,
374739,5469,50,,40,1,4470,
374740,5468,51,,40,1,4470,
374741,5467,52,,40,1,4470,
374742,5464,53,,40,1,4470,
374743,5466,54,,40,1,4470,
374744,5463,55,,40,1,4470,
374745,5465,56,,40,1,4470,
374746,5451,57,,40,1,4435,
374747,5449,58,,40,1,4435,
374748,5448,59,,40,1,4435,
374749,5447,60,,40,1,4435,
374750,5446,61,,40,1,4435,
374751,5445,62,,40,1,4435,
374752,5444,63,,40,1,4435,
374753,5443,64,,40,1,4435,
374754,5442,65,,40,1,4435,
374755,5450,66,,40,1,4435,
374756,4624,82,,40,1,3976,
374757,4625,83,,40,1,3976,
374758,649,84,,40,1,3976,
374759,4627,85,,40,1,3976,
374760,939,86,,40,1,3976,
374761,4629,87,,40,1,3976,
374762,137,88,,40,1,3976,
374763,4630,89,,40,1,3976,
374764,4631,90,,40,1,3976,
374765,140,91,,40,1,3976,
374766,4632,92,,40,1,3976,
374767,4633,93,,40,1,3976,
374768,4634,94,,40,1,3976,
374769,4635,95,,40,1,3976,
374770,145,96,,40,1,3976,
374771,146,97,,40,1,3978,
374772,147,98,,40,1,3978,
374773,148,99,,40,1,3978,
374774,149,100,,40,1,3978,
374775,150,101,,40,1,3978,
374776,151,102,,40,1,3978,
374777,152,103,,40,1,3978,
374778,153,104,,40,1,3978,
374779,154,105,,40,1,3978,
374780,155,106,,40,1,3978,
374781,3602,107,,40,1,3978,
374782,3603,108,,40,1,3978,
374783,3604,109,,40,1,3978,
374784,3605,110,,40,1,3978,
374785,3606,111,,40,1,3978,
374786,3607,112,,40,1,3978,
374787,3608,113,,40,1,3978,
374788,3609,114,,40,1,3978,
374789,3610,115,,40,1,3978,
374790,5453,116,,40,1,4469,
374791,5454,117,,40,1,4469,
374792,5455,118,,40,1,4469,
374793,5452,119,,40,1,4469,
374794,5457,120,,40,1,4469,
374795,5461,121,,40,1,4469,
374796,5456,122,,40,1,4469,
374797,5460,123,,40,1,4469,
374798,5459,124,,40,1,4469,
374799,5458,125,,40,1,4469,
374800,967,126,,40,1,4064,
374801,968,127,,40,1,4064,
374802,969,128,,40,1,4064,
374803,970,129,,40,1,4064,
374804,971,130,,40,1,4064,
374805,972,131,,40,1,4064,
374806,973,132,,40,1,4064,
374807,974,133,,40,1,4064,
374808,975,134,,40,1,4064,
374809,976,135,,40,1,4064,
374810,5653,136,,41,1,4435,
374811,5554,137,,41,1,4435,
374812,5553,138,,41,1,4435,
374813,5552,139,,41,1,4435,
374814,5549,140,,41,1,4435,
374815,5548,141,,41,1,4435,
374816,5547,142,,41,1,4435,
374817,5546,143,,41,1,4435,
374818,5551,144,,41,1,4435,
374819,5550,145,,41,1,4435,
374820,199,146,,41,1,3975,
374821,200,147,,41,1,3975,
374822,201,148,,41,1,3975,
374823,202,149,,41,1,3975,
374824,203,150,,41,1,3975,
374825,204,151,,41,1,3975,
374826,205,152,,41,1,3975,
374827,206,153,,41,1,3975,
374828,207,154,,41,1,3975,
374829,208,155,,41,1,3975,
374830,209,156,,41,1,3975,
374831,210,157,,41,1,3975,
374832,211,158,,41,1,3975,
374833,212,159,,41,1,3975,
374834,213,160,,41,1,3975,
374835,214,161,,41,1,3975,
374836,215,162,,41,1,3975,
374837,216,163,,41,1,3975,
374838,4631,164,,41,1,3976,
374839,4637,165,,41,1,3976,
374840,140,166,,41,1,3976,
374841,649,167,,41,1,3976,
374842,4641,168,,41,1,3976,
374843,4642,169,,41,1,3976,
374844,4630,170,,41,1,3976,
374845,4634,171,,41,1,3976,
374846,229,172,,41,1,3976,
374847,230,173,,41,1,3976,
374848,4980,174,,41,1,3976,
374849,232,175,,41,1,3976,
374850,5618,176,,39,1,4469,
374851,5617,177,,39,1,4469,
374852,5616,178,,39,1,4469,
374853,5615,179,,39,1,4469,
374854,5614,180,,39,1,4469,
374855,5613,181,,39,1,4469,
374856,5612,182,,39,1,4469,
374857,5611,183,,39,1,4469,
374858,5610,184,,39,1,4469,
374859,959,185,,39,1,4064,
374860,960,186,,39,1,4064,
374861,961,187,,39,1,4064,
374862,962,188,,39,1,4064,
374863,963,189,,39,1,4064,
374864,964,190,,39,1,4064,
374865,965,191,,39,1,4064,
374866,966,192,,39,1,4064,
374867,5630,193,,39,1,4470,
