_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,attempted_at,obtain_marks,percentage,performance_level,total_marks,total_right,total_wrong
979530,163545,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97926"",""stuId"":""363811"",""section_id"":""9"",""grade_id"":""11""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",6,100,excellent,6,2,4
979531,160274,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97926"",""stuId"":""101909"",""section_id"":""9"",""grade_id"":""11""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",6,100,excellent,6,2,4
979532,160273,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97382"",""stuId"":""96927"",""section_id"":""11"",""grade_id"":""11""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",6,100,excellent,6,3,3
979533,163551,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97382"",""stuId"":""363817"",""section_id"":""11"",""grade_id"":""11""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",6,100,excellent,6,3,3
979534,160273,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97382"",""stuId"":""96927"",""section_id"":""11"",""grade_id"":""11""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",20,100,excellent,20,0,20
979535,163551,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97382"",""stuId"":""363817"",""section_id"":""11"",""grade_id"":""11""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",20,100,excellent,20,0,20
979536,160273,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97382"",""stuId"":""96927"",""section_id"":""11"",""grade_id"":""11""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",5,100,excellent,5,0,5
979537,163551,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97382"",""stuId"":""363817"",""section_id"":""11"",""grade_id"":""11""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",5,100,excellent,5,0,5
979538,163545,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97926"",""stuId"":""363811"",""section_id"":""9"",""grade_id"":""11""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",2,40,weak,5,2,3
979539,160274,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97926"",""stuId"":""101909"",""section_id"":""9"",""grade_id"":""11""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}","{""seconds"":1779865069,""nanoseconds"":343000000,""tzOffsetSeconds"":0}",2,40,weak,5,2,3
