_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,coverage_depth,is_introduction,sequence_order
980166,374721,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""12"",""chapter_id"":""971"",""subject_id"":""3975"",""standard_id"":""39""}",373816,Concept,"{""chapter_id"":""1"",""standard_id"":""1"",""subject_id"":""1"",""sub_institute_id"":""1"",""id"":""1"",""name"":""test"",""conceptId"":""1"",""lesson_id"":""12""}",medium,true,1
980167,374711,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""2"",""chapter_id"":""27"",""subject_id"":""3975"",""standard_id"":""39""}",373817,Concept,"{""chapter_id"":""27"",""standard_id"":""39"",""subject_id"":""3975"",""sub_institute_id"":""1"",""id"":""3"",""name"":""test 19-05"",""conceptId"":""3"",""lesson_id"":""2""}",medium,true,1
996749,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375430,Concept,"{""sub_institute_id"":""1"",""id"":""4"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Introduction to rational numbers"",""conceptId"":""4"",""lesson_id"":""1874""}",,,
996750,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375431,Concept,"{""sub_institute_id"":""1"",""id"":""5"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Representation on the number line"",""conceptId"":""5"",""lesson_id"":""1874""}",,,
996751,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375432,Concept,"{""sub_institute_id"":""1"",""id"":""6"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Density of rational numbers and its proof"",""conceptId"":""6"",""lesson_id"":""1874""}",,,
996752,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375433,Concept,"{""sub_institute_id"":""1"",""id"":""7"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Finding rational numbers between two rational"",""conceptId"":""7"",""lesson_id"":""1874""}",,,
996753,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375434,Concept,"{""sub_institute_id"":""1"",""id"":""8"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Decimal representation of rational numbers"",""conceptId"":""8"",""lesson_id"":""1874""}",,,
996754,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375435,Concept,"{""sub_institute_id"":""1"",""id"":""9"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Introduction to irrational numbers"",""conceptId"":""9"",""lesson_id"":""1874""}",,,
996755,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375436,Concept,"{""sub_institute_id"":""1"",""id"":""10"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""Proof of irrationality of \u221a2 and \u221a3"",""conceptId"":""10"",""lesson_id"":""1874""}",,,
996756,375428,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1874"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028""}",375437,Concept,"{""sub_institute_id"":""1"",""id"":""11"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""The square root spiral"",""conceptId"":""11"",""lesson_id"":""1874""}",,,
996757,375429,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""1875"",""chapter_id"":""8560"",""subject_id"":""3976"",""standard_id"":""42"",""teacher_id"":""7028"",""lesson_title"":""test""}",375448,Concept,"{""sub_institute_id"":""1"",""id"":""12"",""chapter_id"":""8560"",""standard_id"":""42"",""subject_id"":""3976"",""name"":""The square root spiral"",""conceptId"":""12"",""lesson_id"":""1875""}",,,
