_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,database_type
62,620,Result,"{""question_paper_id"":""5673"",""student_id"":""100239"",""resultId"":""174969""}",619,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5673""}",
73,622,Result,"{""question_paper_id"":""5674"",""student_id"":""100239"",""resultId"":""174970""}",621,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5674""}",
78,624,Result,"{""question_paper_id"":""5675"",""student_id"":""100239"",""resultId"":""174971""}",623,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5675""}",
85,628,Result,"{""question_paper_id"":""5677"",""student_id"":""100239"",""resultId"":""174972""}",627,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5677""}",
90,630,Result,"{""question_paper_id"":""5678"",""student_id"":""100239"",""resultId"":""174973""}",629,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5678""}",
95,632,Result,"{""question_paper_id"":""5679"",""student_id"":""100239"",""resultId"":""174974""}",631,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5679""}",
102,636,Result,"{""question_paper_id"":""5682"",""student_id"":""100239"",""resultId"":""174977""}",635,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5682""}",
107,638,Result,"{""question_paper_id"":""5683"",""student_id"":""100239"",""resultId"":""174978""}",637,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5683""}",
112,640,Result,"{""question_paper_id"":""5684"",""student_id"":""100239"",""resultId"":""174979""}",639,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5684""}",
117,642,Result,"{""question_paper_id"":""5685"",""student_id"":""100239"",""resultId"":""174980""}",641,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5685""}",
122,644,Result,"{""question_paper_id"":""5686"",""student_id"":""100239"",""resultId"":""174981""}",643,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5686""}",
127,646,Result,"{""question_paper_id"":""5687"",""student_id"":""100239"",""resultId"":""174982""}",645,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5687""}",
132,648,Result,"{""question_paper_id"":""5688"",""student_id"":""100239"",""resultId"":""174983""}",647,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5688""}",
157,670,Result,"{""question_paper_id"":""5691"",""student_id"":""100239"",""resultId"":""174985""}",669,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5691""}",
