_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
978820,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374599,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4064"",""paper_name"":""ss"",""grade_id"":""12"",""assId"":""1077""}"
978821,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374600,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4064"",""paper_name"":""Civics"",""grade_id"":""12"",""assId"":""1081""}"
978822,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374601,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4064"",""paper_name"":""Civics perodic test"",""grade_id"":""12"",""assId"":""1090""}"
978823,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374602,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4064"",""paper_name"":""a"",""grade_id"":""12"",""assId"":""1148""}"
978824,374569,Subject,"{""sub_institute_id"":""1"",""display_name"":""Civics"",""subId"":""4470"",""standard_id"":""40""}",374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}"
978825,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}"
978826,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374611,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 2"",""grade_id"":""11"",""assId"":""1415""}"
978827,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374612,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 3"",""grade_id"":""11"",""assId"":""1417""}"
978828,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374613,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4064"",""paper_name"":""hiills"",""grade_id"":""12"",""assId"":""1597""}"
978829,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}"
978830,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}"
978831,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374616,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""41"",""subject_id"":""3975"",""paper_name"":""Sample Exam"",""grade_id"":""11"",""assId"":""2503""}"
978832,374482,Subject,"{""sub_institute_id"":""1"",""display_name"":""21st Century skill"",""subId"":""4023"",""standard_id"":""2269""}",374617,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""subject_id"":""4023"",""paper_name"":""Testing"",""grade_id"":""577"",""assId"":""2856""}"
978833,374482,Subject,"{""sub_institute_id"":""1"",""display_name"":""21st Century skill"",""subId"":""4023"",""standard_id"":""2269""}",374618,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""2269"",""subject_id"":""4023"",""paper_name"":""Maths test-2"",""grade_id"":""577"",""assId"":""2858""}"
978834,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374619,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""41"",""subject_id"":""3975"",""paper_name"":""aa"",""grade_id"":""11"",""assId"":""2940""}"
978835,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374620,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3032""}"
978836,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374621,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3033""}"
978837,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374622,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""18-04-2024 to 19-04-2024"",""grade_id"":""11"",""assId"":""3035""}"
978838,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374623,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3082""}"
978839,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374624,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3083""}"
978840,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374625,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3128""}"
978841,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374626,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3129""}"
978842,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374627,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3130""}"
978843,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374628,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3131""}"
978844,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374629,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3132""}"
978845,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374630,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3133""}"
978846,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374631,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3134""}"
978847,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374632,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3135""}"
978848,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374633,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3136""}"
978849,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374634,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3137""}"
978850,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374635,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3138""}"
978851,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374636,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3139""}"
978852,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374637,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""qq"",""grade_id"":""11"",""assId"":""3140""}"
978853,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374638,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""vijay"",""grade_id"":""11"",""assId"":""3141""}"
978854,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374639,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""AA"",""grade_id"":""11"",""assId"":""3142""}"
978855,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374640,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""AA"",""grade_id"":""11"",""assId"":""3143""}"
978856,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374641,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""paper_name"":""AA"",""grade_id"":""11"",""assId"":""3144""}"
978857,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374642,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""paper_name"":""a"",""grade_id"":""11"",""assId"":""3145""}"
978858,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374643,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""aa"",""grade_id"":""12"",""assId"":""3146""}"
978859,374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}",374644,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3978"",""paper_name"":""test notification 1 11-06-24"",""grade_id"":""11"",""assId"":""3147""}"
978860,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374645,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""aa"",""grade_id"":""11"",""assId"":""3148""}"
978861,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374647,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3151""}"
978862,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374648,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3157""}"
978863,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374649,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""Math Ch-1 (Set- A) 2024-25"",""grade_id"":""11"",""assId"":""3734""}"
978864,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374650,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""Math Ch-1 (Set- A) 2024-25"",""grade_id"":""11"",""assId"":""3742""}"
978865,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374651,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3976"",""paper_name"":""Math Ch-1 (Set- A) 2024-25"",""grade_id"":""11"",""assId"":""3743""}"
978866,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374652,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3976"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3860""}"
978867,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374653,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3881""}"
978868,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374654,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""3974""}"
978869,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374655,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""a"",""grade_id"":""11"",""assId"":""4097""}"
978870,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374656,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""w"",""grade_id"":""11"",""assId"":""4102""}"
978871,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374657,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""a"",""grade_id"":""11"",""assId"":""4103""}"
978872,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374658,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""paper_name"":""ss"",""grade_id"":""11"",""assId"":""4135""}"
978873,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374659,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""4189""}"
978874,374569,Subject,"{""sub_institute_id"":""1"",""display_name"":""Civics"",""subId"":""4470"",""standard_id"":""40""}",374660,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4470"",""paper_name"":""a"",""grade_id"":""12"",""assId"":""4193""}"
978875,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374661,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""aa"",""grade_id"":""11"",""assId"":""4194""}"
978876,374568,Subject,"{""sub_institute_id"":""1"",""display_name"":""History"",""subId"":""4469"",""standard_id"":""40""}",374662,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4469"",""paper_name"":""sanskar"",""grade_id"":""11"",""assId"":""4383""}"
978877,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374663,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""ANual exam"",""grade_id"":""11"",""assId"":""4478""}"
978878,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374664,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""4479""}"
978879,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374665,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""4480""}"
978880,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374666,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""11"",""assId"":""4481""}"
978881,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374667,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""SS"",""grade_id"":""12"",""assId"":""4482""}"
978882,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374668,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""4495""}"
978883,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}"
978884,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374670,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""A"",""grade_id"":""11"",""assId"":""4763""}"
978885,374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}",374671,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3978"",""paper_name"":""test notification 1 11-06-24"",""grade_id"":""11"",""assId"":""4806""}"
978886,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374672,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""SA-1"",""grade_id"":""12"",""assId"":""4982""}"
978887,374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}",374673,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3978"",""paper_name"":""exam eng 1"",""grade_id"":""11"",""assId"":""5062""}"
978888,374571,Subject,"{""sub_institute_id"":""1"",""display_name"":""Economics"",""subId"":""4472"",""standard_id"":""42""}",374674,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4472"",""paper_name"":""eco-1"",""grade_id"":""12"",""assId"":""5063""}"
978889,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374675,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""5068""}"
978890,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374676,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5494""}"
978891,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374677,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5495""}"
978892,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374678,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5496""}"
978893,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374679,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5499""}"
978894,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374680,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5500""}"
978895,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374681,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5501""}"
978896,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374682,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5502""}"
978897,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374683,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5503""}"
978898,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374684,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5504""}"
978899,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374685,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5505""}"
978900,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374686,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5506""}"
978901,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374687,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5507""}"
978902,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374688,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5508""}"
978903,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374689,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5509""}"
978904,374538,Subject,"{""sub_institute_id"":""1"",""display_name"":""Earth & Space Science"",""subId"":""4120"",""standard_id"":""2305""}",374690,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""38"",""subject_id"":""4120"",""paper_name"":""Test-1"",""grade_id"":""11"",""assId"":""5510""}"
978905,374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}",374691,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""paper_name"":""Maths Exam"",""grade_id"":""12"",""assId"":""5511""}"
978906,374506,Subject,"{""sub_institute_id"":""1"",""display_name"":""Social Science"",""subId"":""4064"",""standard_id"":""39""}",374692,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""1"",""subject_id"":""4064"",""paper_name"":""test"",""grade_id"":""1"",""assId"":""5515""}"
978907,374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}",374693,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5516""}"
