_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
979611,155338,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""934"",""chapter_name"":""NUMBER SYSTEMS""}",374724,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""15"",""chapter_id"":""934"",""subject_id"":""3976"",""standard_id"":""42""}"
979612,155342,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""938"",""chapter_name"":""Introduction to Euclids Geometry""}",374725,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""16"",""chapter_id"":""938"",""subject_id"":""3976"",""standard_id"":""42""}"
979613,155343,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""939"",""chapter_name"":""Lines and Angles""}",374726,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""17"",""chapter_id"":""939"",""subject_id"":""3976"",""standard_id"":""42""}"
979614,155345,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""941"",""chapter_name"":""QUADRILATERALS""}",374727,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""18"",""chapter_id"":""941"",""subject_id"":""3976"",""standard_id"":""42""}"
979615,155347,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""945"",""chapter_name"":""Herons formula""}",374730,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""21"",""chapter_id"":""945"",""subject_id"":""3976"",""standard_id"":""42""}"
979616,155348,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""946"",""chapter_name"":""Surface areas and volumes""}",374731,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""22"",""chapter_id"":""946"",""subject_id"":""3976"",""standard_id"":""42""}"
979617,155349,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3976"",""chId"":""947"",""chapter_name"":""STATISTICS""}",374732,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""23"",""chapter_id"":""947"",""subject_id"":""3976"",""standard_id"":""42""}"
979618,155939,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4472"",""chId"":""5475"",""chapter_name"":""Ch- 1The Economic History of Palampore""}",374733,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""28"",""chapter_id"":""5475"",""subject_id"":""4472"",""standard_id"":""42""}"
979619,155938,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4472"",""chId"":""5474"",""chapter_name"":""Ch- 2 People as Resource""}",374734,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""29"",""chapter_id"":""5474"",""subject_id"":""4472"",""standard_id"":""42""}"
979620,155937,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4472"",""chId"":""5473"",""chapter_name"":""Ch-3 Poverty as a Challange facing India""}",374735,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""30"",""chapter_id"":""5473"",""subject_id"":""4472"",""standard_id"":""42""}"
979621,155936,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""4472"",""chId"":""5472"",""chapter_name"":""Ch-4 Food Security""}",374736,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""31"",""chapter_id"":""5472"",""subject_id"":""4472"",""standard_id"":""42""}"
979622,155927,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""4470"",""chId"":""5462"",""chapter_name"":""Ch1_On Equality""}",374737,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""48"",""chapter_id"":""5462"",""subject_id"":""4470"",""standard_id"":""40""}"
979623,155935,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""4470"",""chId"":""5470"",""chapter_name"":""Ch2_Role Of government in health""}",374738,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""49"",""chapter_id"":""5470"",""subject_id"":""4470"",""standard_id"":""40""}"
979624,155934,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""4470"",""chId"":""5469"",""chapter_name"":""Ch3_ How the State Government Works""}",374739,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""50"",""chapter_id"":""5469"",""subject_id"":""4470"",""standard_id"":""40""}"
979625,155933,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""4470"",""chId"":""5468"",""chapter_name"":""Ch4_Growing up as Boys and Girls""}",374740,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""51"",""chapter_id"":""5468"",""subject_id"":""4470"",""standard_id"":""40""}"
