_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
975980,29630,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2226"",""name"":""CBSE-1"",""stId"":""2226"",""short_name"":""1""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975981,29631,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2227"",""name"":""Standard 2227"",""stId"":""2227"",""short_name"":""2""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975982,29632,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2228"",""name"":""Standard 2228"",""stId"":""2228"",""short_name"":""3""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975983,29633,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""name"":""Standard 2229"",""stId"":""2229"",""short_name"":""4""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975984,29634,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2230"",""name"":""CBSE-5"",""stId"":""2230"",""short_name"":""5""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975985,29635,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2231"",""name"":""CBSE-6"",""stId"":""2231"",""short_name"":""6""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975986,29636,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2232"",""name"":""CBSE-7"",""stId"":""2232"",""short_name"":""7""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
975987,29630,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2226"",""name"":""CBSE-1"",""stId"":""2226"",""short_name"":""1""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
975988,29631,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2227"",""name"":""Standard 2227"",""stId"":""2227"",""short_name"":""2""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
975989,29632,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2228"",""name"":""Standard 2228"",""stId"":""2228"",""short_name"":""3""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
