_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,average_marks,bkt_mastery,confidence,fluency,forgetting_risk,last_attempt_correct,latest_score,mastery_level,mastery_score,next_review_date,proficiency_score,times_practiced,updated_at
67,160289,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""100239"",""stuId"":""105072"",""section_id"":""11"",""grade_id"":""11""}",154593,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8104"",""chapter_name"":""The Wonderful World of Science""}",,,,,,,,,,,41,,
68,163553,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""363819"",""section_id"":""11"",""grade_id"":""11""}",154593,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8104"",""chapter_name"":""The Wonderful World of Science""}",,,,,,,,,,,41,,
69,372048,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""100239"",""section_id"":""11"",""grade_id"":""11""}",154593,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8104"",""chapter_name"":""The Wonderful World of Science""}",,,,,,,,,,,41,,
70,160289,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""100239"",""stuId"":""105072"",""section_id"":""11"",""grade_id"":""11""}",156781,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""chId"":""8061"",""chapter_name"":""The Ever - Evolving World of Science""}",,,,,,,,,,,17,,
71,163553,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""363819"",""section_id"":""11"",""grade_id"":""11""}",156781,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""chId"":""8061"",""chapter_name"":""The Ever - Evolving World of Science""}",,,,,,,,,,,17,,
72,372048,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""100239"",""section_id"":""11"",""grade_id"":""11""}",156781,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""40"",""subject_id"":""3975"",""chId"":""8061"",""chapter_name"":""The Ever - Evolving World of Science""}",,,,,,,,,,,17,,
285,160273,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97382"",""stuId"":""96927"",""section_id"":""11"",""grade_id"":""11""}",156819,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4064"",""chId"":""8141"",""chapter_name"":""Locating Places on the Earth""}",,,,,,,,,,,25,,
286,163551,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97382"",""stuId"":""363817"",""section_id"":""11"",""grade_id"":""11""}",156819,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4064"",""chId"":""8141"",""chapter_name"":""Locating Places on the Earth""}",,,,,,,,,,,25,,
287,160273,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""97382"",""stuId"":""96927"",""section_id"":""11"",""grade_id"":""11""}",154593,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8104"",""chapter_name"":""The Wonderful World of Science""}",,,,,,,,,,,27,,
288,163551,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""97382"",""stuId"":""363817"",""section_id"":""11"",""grade_id"":""11""}",154593,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8104"",""chapter_name"":""The Wonderful World of Science""}",,,,,,,,,,,27,,
313,160289,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""100239"",""stuId"":""105072"",""section_id"":""11"",""grade_id"":""11""}",156808,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8105"",""chapter_name"":""Diversity in the Living World""}",,,,,,,,,,,25,,
314,163553,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""363819"",""section_id"":""11"",""grade_id"":""11""}",156808,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8105"",""chapter_name"":""Diversity in the Living World""}",,,,,,,,,,,25,,
315,372048,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""100239"",""section_id"":""11"",""grade_id"":""11""}",156808,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""chId"":""8105"",""chapter_name"":""Diversity in the Living World""}",,,,,,,,,,,25,,
353,27695,Student,"{""sub_institute_id"":""195"",""standard_id"":""2224"",""student_id"":""106287"",""stuId"":""112994"",""section_id"":""936"",""grade_id"":""561""}",98400,Chapter,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""subject_id"":""3972"",""chId"":""348"",""chapter_name"":""India : Our Country""}",,,,,,,,,,,90,,
354,28067,Student,"{""sub_institute_id"":""195"",""standard_id"":""2226"",""student_id"":""106287"",""stuId"":""188782"",""section_id"":""936"",""grade_id"":""562""}",98400,Chapter,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""subject_id"":""3972"",""chId"":""348"",""chapter_name"":""India : Our Country""}",,,,,,,,,,,90,,
355,28155,Student,"{""sub_institute_id"":""195"",""standard_id"":""2227"",""student_id"":""106287"",""stuId"":""320999"",""section_id"":""936"",""grade_id"":""562""}",98400,Chapter,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""subject_id"":""3972"",""chId"":""348"",""chapter_name"":""India : Our Country""}",,,,,,,,,,,90,,
356,28538,Student,"{""sub_institute_id"":""195"",""standard_id"":""2228"",""student_id"":""106287"",""stuId"":""391606"",""section_id"":""936"",""grade_id"":""562""}",98400,Chapter,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""subject_id"":""3972"",""chId"":""348"",""chapter_name"":""India : Our Country""}",,,,,,,,,,,90,,
357,371395,Student,"{""sub_institute_id"":""195"",""id"":""436055"",""standard_id"":""2229"",""student_id"":""106287"",""stuId"":""436055""}",98400,Chapter,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""subject_id"":""3972"",""chId"":""348"",""chapter_name"":""India : Our Country""}",,,,,,,,,,,90,,
975974,160289,Student,"{""sub_institute_id"":""1"",""standard_id"":""39"",""student_id"":""100239"",""stuId"":""105072"",""section_id"":""11"",""grade_id"":""11""}",373817,Concept,"{""chapter_id"":""27"",""standard_id"":""39"",""subject_id"":""3975"",""sub_institute_id"":""1"",""id"":""3"",""name"":""test 19-05"",""conceptId"":""3"",""lesson_id"":""2""}",1,0.25,low,low,high,false,1,beginner,0.25,"{""days"":20600}",,1,"{""seconds"":1779702285,""nanoseconds"":894000000,""tzOffsetSeconds"":0}"
975975,163553,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""363819"",""section_id"":""11"",""grade_id"":""11""}",373817,Concept,"{""chapter_id"":""27"",""standard_id"":""39"",""subject_id"":""3975"",""sub_institute_id"":""1"",""id"":""3"",""name"":""test 19-05"",""conceptId"":""3"",""lesson_id"":""2""}",1,0.25,low,low,high,false,1,beginner,0.25,"{""days"":20600}",,1,"{""seconds"":1779702285,""nanoseconds"":894000000,""tzOffsetSeconds"":0}"
975976,372048,Student,"{""sub_institute_id"":""1"",""standard_id"":""40"",""student_id"":""100239"",""stuId"":""100239"",""section_id"":""11"",""grade_id"":""11""}",373817,Concept,"{""chapter_id"":""27"",""standard_id"":""39"",""subject_id"":""3975"",""sub_institute_id"":""1"",""id"":""3"",""name"":""test 19-05"",""conceptId"":""3"",""lesson_id"":""2""}",1,0.25,low,low,high,false,1,beginner,0.25,"{""days"":20600}",,1,"{""seconds"":1779702285,""nanoseconds"":894000000,""tzOffsetSeconds"":0}"
