"Title","edition","isbn_issn","publisher_id","publish_year","collation","series_title","call_number","language_id","publish_place_id","classification","notes","image ","file_att","authors","subjects","items","specific_detail","copies","price","url","supplier_id","subtitle","volumeno","serialno","keywords","bookreview","standards","frequency_id","Editor(s)","Producer","Director","Guide(s)","Publication","Publication Date","Academic Year","Abstract","Duration","Company","KeyActor/Actor","Country","State","City","Age Groups","Awards","College/Inst/Dept","University","Qualification","Journal/Serials","Index","Language 2"
"ADVANCED COMPILER DESIGN IMPLEMENTATION  ",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA  ","005.453  ","  ",,,"MUCHNICK, S, S.  ","CE, IT,  ","LJIT00001",,,"525  ",,"UNIQUE BOOK STORE",,,,"CE, IT,  ",,,,,,,,,,,,,,,,,,,,,,,,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00002",,,"450",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00003",,,"450",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00004",,,"450",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00005",,,"450",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00006",,,"450",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00007",,,"500",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00008",,,"500",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,TITLE,","LJIT00009",,,"560",,"UNIQUE BOOK STORE",,,,"ME,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,","LJIT00010",,,"560",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MEN OF MATHEMATICS: THE LIVES AND ACHIEVEMENTS OF THE GREAT MATHEMATICIANS FROM ZENO T POINCARE",,,"SIMON AND SCHUSTER",1986,,,,"ENGLISH","NEW YORK","510.922",,,,"BELL, E, T.","MATHS,","LJIT00011",,,"499",,"UNIQUE BOOK STORE",,,,"MATHS,",,,,,,,,,,,,,,,,,,,,,,,,,
"FLUID MECHANICS: BASIC CONCEPTS AND PRINCIPLES",2,,"ANE BOOKS PVT LTD",2011,,,,"ENGLISH","NEW DELHI","620.106",,,,"KUMAR, S.","ME,TITLE,","LJIT00012",,,"595",,"UNIQUE BOOK STORE",,,,"ME,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00013",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00014",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00015",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00016",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00017",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00018",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00019",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00020",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00021",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00022",,,"625",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,TITLE,","LJIT00023",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00024",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00025",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00026",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00027",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00028",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00029",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00030",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00031",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00032",,,"330",,"UNIQUE BOOK STORE",,,,"CE, IT,",,,,,,,,,,,,,,,,,,,,,,,,,
"VECTOR CALCULUS AND LINEAR ALGEBRA: II",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","515.33",,,,"PATEL, S, S.","MATHS,TITLE,","LJIT00033",,,"360",,"UNIQUE BOOK STORE",,,,"MATHS,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"VECTOR CALCULUS AND LINEAR ALGEBRA: II",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","515.33",,,,"PATEL, S, S.","MATHS,","LJIT00034",,,"360",,"UNIQUE BOOK STORE",,,,"MATHS,",,,,,,,,,,,,,,,,,,,,,,,,,
