"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"1 2 3 PRE SCHOOL PRACTICE WORK BOOK","2002",,"PLAYMORE INC PUBLISH","2003","ACADEMIC","1","ENGLISH MEDIUM","NEW DELHI","EH 9",,,,"MR RICHARD E WHYLIE","ACADEMIC","1",,,"$60.00",,,,,,,,"","","","","",""
"SHAPES PRE SCHOOL PRACTICE WORK BOOK","2002",,"PLAYMORE INC PUBLISH","2003","ACADEMIC","2","ENGLISH MEDIUM","NEW DELHI","EH 8",,,,"MR RICHARD E WHYLIE","ACADEMIC","2",,,"$60.00",,,,,,,,,,,,,
"FIT THE LETTER","2002",,"PATEL HODDOCK LTD","2003","GK","3","ENGLISH MEDIUM",,"EK 23",,,,"LEMUR","GK","3",,,"$60.00",,,,,,,,,,,,,
"BUMPER QUIZ BOOK ON INDIA","2002",,"ESHWAR","2003","GK","4","ENGLISH MEDIUM",,"EK 15",,,,"SURAN KHANDPUR","GK","4",,,"$150.00",,,,,,,,,,,,,
"SCIENCE ALIVE HEAT","2002",,"TIMES EDITIONS","2003","SCIENCE","5","ENGLISH MEDIUM","NEW DELHI","EFD 19",,,,,"SCIENCE","5",,,"$65.00",,,,,,,,,,,,,
"SCIENCE ALIVE ELECTRICITY","2002",,"TIMES EDITIONS","2003","SCIENCE","6","ENGLISH MEDIUM","SINGAPORE","EFD 18",,,,"TIMES MEDIA PVT LTD","SCIENCE","6",,,"$65.00",,,,,,,,,,,,,
"SCIENCE ALIVE MAGNETS","2002",,"TIMES EDITIONS","2003","SCIENCE","7","ENGLISH MEDIUM",,"EFD18",,,,,"SCIENCE","7",,,"$65.00",,,,,,,,,,,,,
"SCIENCE ALIVE SOUND","2002",,"TIMES EDITIONS","2003","SCIENCE","8","ENGLISH MEDIUM",,"EFD 16",,,,,"SCIENCE","8",,,"$65.00",,,,,,,,,,,,,
"SCIENCE ALIVE LIGHT",,,"TIMES EDITIONS","2003","SCIENCE","9","ENGLISH MEDIUM",,"EFD 15",,,,,"SCIENCE","9",,,"$65.00",,,,,,,,,,,,,
"CROSSWORD FUN","2002",,"FRANK EDUCATIONAL AIDS","2003","GK","10","ENGLISH MEDIUM",,"EK 24",,,,,"GK","10",,,"$20.00",,,,,,,,,,,,,
"SCIENCE ALIVE MOTION","2002",,"TIMES EDITIONS","2003","SCIENCE","12","ENGLISH MEDIUM",,"EFD 14",,,,,"SCIENCE","12",,,"$65.00",,,,,,,,,,,,,
"THEMATIC VOCABULARY 2","2002",,"LEARNERS PUBLISHING","2003","GRAMMER","13","ENGLISH MEDIUM","DELHI","EFA 11",,,,"BETTY KIRKPATRICK MA","GRAMMER","13",,,"$195.00",,,,,,,,,,,,,
"101 COOL SCIENCE EXPERIMENTS","2002",,"HINKLER BOOKS","2003","SCIENCE","16","ENGLISH MEDIUM","AUSTRALIA","EFD 42",,,,"HELEN CHAPMAN","SCIENCE","16",,,"$125.00",,,,,,,,,,,,,
"ASTRONOMY QUIZ BOOK","2002",,"PUSTAK MAHAL","2003","GK","17","ENGLISH MEDIUM",,"EK 17",,,,"V CHABDRAN","GK","17",,,"$48.00",,,,,,,,,,,,,
"KNOW CRICKET PLAY CRICKET","2002",,"SURA BOOK PVT LTD","2003","SPORTS","19","ENGLISH MEDIUM",,"EFG 5",,,,"DR N ANONTHO","SPORTS","19",,,"$120.00",,,,,,,,,,,,,
"ELECTRONICS PROJECTS FOR BEGINNERS","2002",,"PUSTAK MAHAL","2003","SCIENCE","20","ENGLISH MEDIUM","DELHI","EFD 43",,,,"A.K.MAINI","SCIENCE","20",,,"$96.00",,,,,,,,,,,,,
"FROM ATOM TO NANO TECH","2002",,"CHILDREN BOOK TRUST","2003","SCIENCE","22","ENGLISH MEDIUM","NEW DELHI","EFD 41",,,,"NILABHO DHAR CHOWDHURY","SCIENCE","22",,,"$65.00",,,,,,,,,,,,,
"KARATE","2002",,"HEALTH HARMONY","2003","SPORTS","26","ENGLISH MEDIUM","NEW DELHI","EFG 3",,,,"KEVIN HEALY","SPORTS","26",,,"$225.00",,,,,,,,,,,,,
"PUZZLE TIME","2002",,"GRANDREMS BOOKS LTD","2003","GK","28","ENGLISH MEDIUM",,"EK 21",,,,,"GK","28",,,"$50.00",,,,,,,,,,,,,
"MOST POPULAR CLASSICS","2002",,"APPLE BOOKS","2003","STORY BOOK","32","ENGLISH MEDIUM","DELHI","EEB 5",,,,,"STORY BOOK","32",,,"$45.00",,,,,,,,,,,,,
"ASTRONOMY QUIZ BOOK","2002",,"PUSTAK MAHAL","2003","GK","35","ENGLISH MEDIUM","NEW DELHI","EK 17",,,,"V.CHANDRAN","GK","35",,,"$48.00",,,,,,,,,,,,,
"BODY LANGUAGE","2002",,"SHREE BOOK CENTRE","2003","PERSONALITY DEVELOPEMENT","39","ENGLISH MEDIUM",,"EP 1",,,,"VIJAYA KUMAR","PERSONALITY DEVELOPEMENT","39",,,"$60.00",,,,,,,,,,,,,
"1001 LETTERS FOR ALL OCCASSIONS","2002",,"KUMAR PUBLICATIONS ","2003","GRAMMER","41","ENGLISH MEDIUM","NEW DELHI","EFA 13",,,,"V.K.SHARMA","GRAMMER","41",,,"$60.00",,,,,,,,,,,,,
"DOUBLE YOUR LEARNING POWER","2002",,"HARPER COLLIAM PUB INDIA","2003","PERSONALITY DEVELOPEMENT","42","ENGLISH MEDIUM",,"EP 3",,,,"GEOFFERY DUDLEY","PERSONALITY DEVELOPEMENT","42",,,"$150.00",,,,,,,,,,,,,
"LIVE AND LEARN AND PASS IT ON VOL-II","2002",,"BPB PUBLICATION","2003","PERSONALITY DEVELOPEMENT","44","ENGLISH MEDIUM",,"EP 11",,,,"H JACKSON DROWN","PERSONALITY DEVELOPEMENT","44",,,"$40.00",,,,,,,,,,,,,
"LIVE AND LEARN AND PASS IT ON VOL-I","2002",,"BPB PUBLICATION","2003","PERSONALITY DEVELOPEMENT","45","ENGLISH MEDIUM",,"EP 10",,,,"H JACKSON DROWN","PERSONALITY DEVELOPEMENT","45",,,"$40.00",,,,,,,,,,,,,
"MANORAMA YEAR BOOK 2003","2002",,"INTEGRATED FINANCE CO LTD","2003","GK","46","ENGLISH MEDIUM",,"EK 16",,,,,"GK","46",,,"$85.00",,,,,,,,,,,,,
"AN AUTOBIOGRAPHY OR THE SROEY OF MY EXPERIMENTS WITH TRUTH","2002",,"NAVAJIVAN PUBLISHING HOUSE","2003","BIOGRAPHY","47","ENGLISH MEDIUM","AHAMEDABAD","EB 2",,,,"M.K.GANDHI","BIOGRAPHY","47",,,"$30.00",,,,,,,,,,,,,
"WORD POWER MADE EASY","2002",,"M.B.D. PUBLISHERS ","2003","GRAMMER","48","ENGLISH MEDIUM","DELHI","EFA 4",,,,,"GRAMMER","48",,,"$95.00",,,,,,,,,,,,,
"WORD POWER MADE EASY","2002",,"GENERAL BOOK DEPOT","2003","GRAMMER","49","ENGLISH MEDIUM","NEW DELHI","EFA 3",,,,"NORMAN LEWIS","GRAMMER","49",,,"$99.00",,,,,,,,,,,,,
"HOW TO WIN FRIENDS AND INFLUENCE PEOPLE","2002",,"POCKET BOOK","2003","PERSONALITY DEVELOPEMENT","50","ENGLISH MEDIUM",,"EP 8",,,,"DALE CARNEGIE","PERSONALITY DEVELOPEMENT","50",,,"$100.00",,,,,,,,,,,,,
"TOUGH TIME NEVER LAST BUT TOUGH PEOPLE DO","2002",,"DRIENT PAPER BOOKS","2003","PERSONALITY DEVELOPEMENT","51","ENGLISH MEDIUM",,"EP 4",,,,"ROBERT H SCULLER","PERSONALITY DEVELOPEMENT","51",,,"$70.00",,,,,,,,,,,,,
"AMAR CHITRA KATHA (TULSIDAS)","2002",,"INDIA BOOK HOUSE LTD","2003","CHILDREN LITERATURE","55","ENGLISH MEDIUM",,"EEB 37",,,,"SURESHCHANDRA","CHILDREN LITERATURE","55",,,"$25.00",,,,,,,,,,,,,
"AMAR CHITRA KATHA (ANCESTORS OF RAMA)","2002",,"INDIA BOOK HOUSE LTD","2003","CHILDREN LITERATURE","58","ENGLISH MEDIUM",,"EEB 223",,,,"KAMELA CHANDRAT","CHILDREN LITERATURE","58",,,"$25.00",,,,,,,,,,,,,
"AMAR CHITRA KATHA (MIRABAI)","2002",,"INDIA BOOK HOUSE LTD","2003","CHILDREN LITERATURE","59","ENGLISH MEDIUM",,"EEB 35",,,,"KAMELA CHANDRAT","CHILDREN LITERATURE","59",,,"$25.00",,,,,,,,,,,,,
"GALILEO GALILES","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","69","ENGLISH MEDIUM",,"EB 16",,,,"K S KOHLI","BIOGRAPHY","69",,,"$30.00",,,,,,,,,,,,,
"MARIE CURIE","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","70","ENGLISH MEDIUM",,"EB 18",,,,"K S KOHLI","BIOGRAPHY","70",,,"$30.00",,,,,,,,,,,,,
"EDWORD JENNER","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","71","ENGLISH MEDIUM",,"EB 7",,,,"K S KOHLI","BIOGRAPHY","71",,,"$30.00",,,,,,,,,,,,,
"ALFRED NOBEL","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","72","ENGLISH MEDIUM",,"EB 15",,,,"K S KOHLI","BIOGRAPHY","72",,,"$30.00",,,,,,,,,,,,,
"THOMAS ALWA EDISON","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","73","ENGLISH MEDIUM",,"EB 14",,,,"K S KOHLI","BIOGRAPHY","73",,,"$30.00",,,,,,,,,,,,,
"ALBERT EINSTEIN","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","74","ENGLISH MEDIUM",,"EB 17",,,,"K S KOHLI","BIOGRAPHY","74",,,"$30.00",,,,,,,,,,,,,
"ISSAC NEWTON","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","75","ENGLISH MEDIUM",,"EB 12",,,,"K S KOHLI","BIOGRAPHY","75",,,"$30.00",,,,,,,,,,,,,
"LOUIS POSTEUR","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","76","ENGLISH MEDIUM",,"EB 13",,,,"K S KOHLI","BIOGRAPHY","76",,,"$30.00",,,,,,,,,,,,,
"ARCHIMEDS","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","77","ENGLISH MEDIUM",,"EB 11",,,,"K S KOHLI","BIOGRAPHY","77",,,"$30.00",,,,,,,,,,,,,
"WRIGHT BROTHERS","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","78","ENGLISH MEDIUM",,"EB 8",,,,"K S KOHLI","BIOGRAPHY","78",,,"$30.00",,,,,,,,,,,,,
"LEANARDA DA VINCH","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","79","ENGLISH MEDIUM",,"EB 9",,,,"K S KOHLI","BIOGRAPHY","79",,,"$30.00",,,,,,,,,,,,,
"CHARLES DARWIN","2002",,"ROHAN BOOK COMPANY","2003","BIOGRAPHY","80","ENGLISH MEDIUM",,"EB 10",,,,"K S KOHLI","BIOGRAPHY","80",,,"$30.00",,,,,,,,,,,,,
"AMAR CHITA KATHA (VIVEKANANDA)","2002",,"INDIA BOOK HOUSE LTD","2003","CHILDREN LITERATURE","81","ENGLISH MEDIUM",,"EEB 27",,,,"S RANGANATHAN","CHILDREN LITERATURE","81",,,"$25.00",,,,,,,,,,,,,
"NEHRU FOR CHILDREN","2002",,"CHILDREN BOOK TRUST","2003","BIOGRAPHY","82","ENGLISH MEDIUM",,"EB 3",,,,"M CHALOPATHI","BIOGRAPHY","82",,,"$37.00",,,,,,,,,,,,,
"INDIRA PRIYADAESHINI","2002",,"CHILDRENS BOOK TRUST","2003","BIOGRAPHY","83","ENGLISH MEDIUM",,"EB 19",,,,"ALKA SHANKAR","BIOGRAPHY","83",,,"$50.00",,,,,,,,,,,,,
"RANI LAXMIBAI","2002",,"SAHNI PUBLICATION","2003","BIOGRAPHY","85","ENGLISH MEDIUM",,"EB 4",,,,"FIROZ ALAM","BIOGRAPHY","85",,,"$40.00",,,,,,,,,,,,,
"FAMOUS TALES FROM ARABIAN NIGHT","2002",,"APPLE BOOKS","2003","STORY BOOK","86","ENGLISH MEDIUM","CHENNAI","EEB 9",,,,,"STORY BOOK","86",,,"$45.00",,,,,,,,,,,,,
"MOST POPULAR JATAKA TALES","2002",,"APPLE BOOKS","2003","STORY BOOK","87","ENGLISH MEDIUM","CHENNAI","EEB 8",,,,,"STORY BOOK","87",,,"$45.00",,,,,,,,,,,,,
"MOST POPULAR STORIES FORM PANCHANTRA","2002",,"APPLE BOOKS","2003","STORY BOOK","88","ENGLISH MEDIUM","CHENNAI","EEB 6",,,,,"STORY BOOK","88",,,"$45.00",,,,,,,,,,,,,
"STORIES FROM PANCHANTRA 2","2002",,"DIAMOND POCKET BOOK","2003","STORY BOOK","89","ENGLISH MEDIUM","DELHI","EEB 13",,,,"B.K.CHATURVEDI","STORY BOOK","89",,,"$15.00",,,,,,,,,,,,,
