Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
DISSEMINATION  ,,,CONTINUUM  ,2004,Power Plant Engineering by H.G.Katariya and J.P.Hadiya,,ENGLISH,LONDON,100  ,  ,,Katariya   H G ; Author      Hadiya   J P ; Author,DERRIDA JACQUES ; Author,"GEN,TITLE,",00001,,1,350  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
CONJECTURES AND REFUTATIONS  ,,,ROUTLEDGE CLASSICAL,2002,,,ENGLISH,LONDON,121,  ,,,POPPER KARL ; Author,"GEN,TITLE,",00002,,1,525  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
KEY CONCEPTS IN THE PHILOSOPHY OF EDUCATION  ,,,ROUTLEDGE CLASSICAL,1999,,,ENGLISH,NEW DELHI,370.1  ,  ,,,WINCH CHRISTOPHER ; Author  GINGELL JOHN ; Author,"GEN,TITLE,",00003,,1,295  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
PHILOSOPHY OF SOCIAL SCIENCE  ,,,CAMBRIDGE UNIVERSITY PRESS,2000,,,ENGLISH,CAMBRIDGE,300.10,  ,,,HOLLIS MARTIN ; Author,"GEN,TITLE,",00004,,1,165  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
CONFLICT OF INTERPRETATIONS  ,,,CONTINUUM  ,2005,,,ENGLISH,LONDON,121.68  ,  ,,,RICOEUR PAUL ; Author,"GEN,TITLE,",00005,,1,395  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
LITERATURE POLITICS AND CULTURE IN POSTWAR BRITAIN,,,CONTINUUM  ,2005,,,ENGLISH,LONDON,820.9358,  ,,,SINFIELD A ; Author,"GEN,TITLE,",00006,,1,350  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
AESTHETIC THEORY  ,,,CONTINUUM  ,2005,,,ENGLISH,LONDON,111.85,  ,,,ADORNO THEODOR W ; Author,"GEN,TITLE,",00007,,1,395  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
SYMBOLS OF TRADE  ,,,MANOHAR PUBLICATION,2004,,,ENGLISH,SIMLA,382.174  ,  ,,,SURESH S ; Author,"GEN,TITLE,",00008,,1,525  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
THINKING IT THROUGH  ,,,OXFORD UNIVERSITY PRESS,2003,,,ENGLISH,NEW DELHI ,100  ,  ,,,APPIAH KWAME ANTHONY ; Author,"CE, IT,TITLE,",00009,,1,475  ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,",,,
GOLDEN TREASURY OF INDO-ANGLIAN POETRY  ,,,SAHITYA ACADEMY,2001,,,ENGLISH,NEW DELHI,809.1954,  ,,,GOKAK VINAYAK KRISHNA ; Author,"GEN,TITLE,",00010,,1,75  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
LITERARY CRITICISM  ,,,OXFORD & IBH PUBLISHING ,1957,,,ENGLISH,NEW DEHLI ,801,  ,,,WIMSATT WILLIAM K ; Author  BROOKS CLEANTH ; Author,"GEN,TITLE,",00011,,1,190  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
BHAKRA NANGAL PROJECT  ,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI ,333.7  ,,,,RANGACHARI R R ; Author,"GEN,",00012,,1,495  ,,UNIQUE BOOK STORE,,"GEN,",,,
NARRATING INDIA  ,,,SAHITYA ACADEMY,2005,,,ENGLISH,NEW DELHI,891.4083,  ,,,RAMAKRISHNAN E V ; Author,"GEN,TITLE,",00013,,1,200  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
INTERPRETING EARLY INDIA  ,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI ,954  ,  ,,,THAPAR ROMILA ; Author,"GEN,TITLE,",00014,,1,225  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
ETHICS IN PRACTICE  ,,,BLACKWELL PUBLICATION,2000,,,ENGLISH,  ,174.30173,  ,,,LAFOLLETTE HUGH ; Author,"GEN,TITLE,",00015,,1,495  ,,UNIQUE BOOK STORE,,"GEN,TITLE,",,,
HUMAN VALUES AND ETHICS: ACHIEVING HOLISTIC EXCELLENCE,,,ICFAI BOOKS  ,2006,,,ENGLISH,HYDERABAD,658.01,  ,,,CHAKRABORTY S K ; Author  CHAKRABORTY D ; Author,"GEN,TITLE,",00016,,1,595  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
POSTCONFLICT DEVELOPMENT,,,VIVA BOOKS PRIVATE LIMITED,2006,,,ENGLISH,NEW DELHI,338.9,  ,,,JUNNE GERD ; Author  VERKOREN WILLEMIJN ; Author,"GEN,TITLE,",00017,,1,695  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
REFORMING INFRASTRUCTURE  ,,,WORLD BANK AND OXFORD UNIVERSITY PRESS  ,2004,,,ENGLISH,WASHINGTON,363.6  ,  ,,,KESSIDES IOANNIS N ; Author,"GEN,",00018,,1,295  ,,UNIQUE BOOK STORE,,"GEN,"
LIFE: SPAN DEVELOPMENT,2,,PSYCHOLOGY PRESS,2000,,,ENGLISH,  ,155  ,  ,,,SUGARMAN LEONIE ; Author,"GEN,TITLE,",00019,,1,295  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
"BEST AMERICAN SHORT STORIES,1992  ",,,HOUGHTON MIFFLIN COMPANY  ,1992,,,ENGLISH,BOSTON,823.91,  ,,,STONE ROBERT ; Author  KENISON KATRINA ; Author,"GEN,TITLE,",00020,,1,195  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
INDIAN POETRY  ,,,SAHITYA ACADEMY,2001,,,ENGLISH,NEW DELHI,809.1954,  ,,,SATCHIDANANDAN K ; Author,"GEN,",00021,,1,175  ,,UNIQUE BOOK STORE,,"GEN,"
DEBATING GANDHI  ,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI ,920  ,  ,,,RAGHURAMARAJU A ; Author,"GEN,",00022,,1,595  ,,UNIQUE BOOK STORE,,"GEN,"
WHEEL OF LAW  ,,,OXFORD UNIVERSITY PRESS,2003,,,ENGLISH,NEW DELHI ,341  ,  ,,,JACOBSOHN GARY JEFFREY ; Author,"GEN,TITLE,",00023,,1,695  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FOLLOWING MOHAMMED  ,,,YODA PRESS  ,2005,,,ENGLISH,NEW DELHI,297.63  ,  ,,,ENST CARL W ; Author,"GEN,TITLE,",00024,,1,450  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FEAR  ,,,OXFORD UNIVERSITY PRESS,2004,,,ENGLISH,NEW DELHI ,320.019  ,  ,,,ROBIN COREY ; Author,"GEN,TITLE,",00025,,1,1340  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
COMPANION TO PHILOSOPHY IN THE MIDDLE AGES  ,2,,BLACKWELL PUBLICATION,2006,,,ENGLISH,  ,189  ,  ,,,GRACIA GEORGE J E ; Author  NOONE TIMOTHY B ; Author,"GEN,TITLE,",00026,,1,2100  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
COMPANION TO WORLD PHILOSOPHIES  ,2,,BLACKWELL PUBLICATION,1999,,,ENGLISH,  ,181,  ,,,DEUTSCH ELIOT ; Author  BONTEKOE RON ; Author,"GEN,TITLE,",00027,,1,495  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
SPINOZA A LIFE,,,CAMBRIDGE UNIVERSITY PRESS,2001,,,ENGLISH,CAMBRIDGE,921.872986,  ,,,NADLER S ; Author,"GEN,TITLE,",00028,,1,595  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
VARIOUS UNIVERSE  ,2,,OXFORD UNIVERSITY PRESS,2002,,,ENGLISH,NEW DELHI ,954.03  ,  ,,,DYSON KETAKI KUSHARI ; Author,"GEN,TITLE,",00029,,1,325  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
APPLIED LINGUISTICS  ,,,ATLANTIC PUBLICATION  ,2004,,,ENGLISH,  ,410  ,  ,,,SHARMA R S ; Author,"GEN,TITLE,",00030,,1,350  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
BLACKWELL COMPANION TO PHILOSOPHY  ,,,BLACKWELL PUBLICATION,1999,,,ENGLISH,  ,100  ,  ,,,BUNNIN NICHOLAS ; Author  TSUI-JAMES E P ; Author,"GEN,TITLE,",00031,,1,495  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
