Navneet General Science An Environmental Approach Book For Class 1 ,Physical Links,,8124306516,Navneet Publications India Limited,2008,,General Science,English,India,,,Navneet_Gen_Sci_1.jpg,,<VINEETA KUMAR>,,<0000000000021><0000000000022><0000000000023><0000000000024><0000000000025>,,5
RUPA BOOK OF SUPER GENIUS PHYSICS QUIZ,Physical Links,,9788129108494,RUPA & CO.,2005,,Physics Quiz,English,India,,,1319280353_s2q97.jpg,,<Vijay Khanduri>,,<0000000000026><0000000000027><0000000000028>,,3
"Bioresources and Genepool Conservation/Singh, M P & Soma Dey",Physical Links,,8170353319,Daya Publishing House 2004,2004,,Bioresources,English,India,,,1315818793_ybsm7.jpg,,<M.P. Singh & Somadey>,,<0000000000029><0000000000030>,,2
Vitasta's Economics Archive for Class XII,Physical Links,,9788189766573,Vitasta Publishing Private Limited,2008,,Economics,English,India,,,1317811927_kysyrb.jpg,,<Harvendrae K Rawal>,<Economics>,<0000000000031><0000000000032>,,2
Physics Guide for class X,Physical Links,,1439142009,Tata McGraw-Hill,2006,,Physics,English,India,,,9780070635678.jpeg,,<Tata McGraw-Hill>,<Physics>,<0000000000014><0000000000015><0000000000016><0000000000017>,,4
Insight: Science & Technology 2/e Book 8,Physical Links,2,9780195667196,Oxford,2009,,Science,English,India,,,81548_0-19-566717-4.gif,,"<kalpana Kashinathanan , Sanghamitra Bhattacharya , Anila Chadha , Sucharita Basu Kasturi>",<Science>,<0000000000018><0000000000019><0000000000020>,,3
Botany For Class 7,Physical Links,,9780070604223,Tata McGraw-Hill,2005,,Botany,English,India,,,9780070604223.jpeg,,"<V SUNDARAM, V ACHUTHAN, P ANANDAN>",<Botany>,<0000000000009><0000000000010><0000000000011>,,3
Sunflower Series: English Main Course Book for Class IV,Physical Links,,9780070604360,Tata McGraw-Hill,2006,,English,English,India,,,9780070604360.jpeg,,<Lakshmi Vishweswaran>,<English>,<0000000000012><0000000000013>,,2
SCIENCE AND TECHNOLOGY,Physical Links,,,Navneet,0,,,English,India,,,book-reviewd.jpg,,<Vikas>,"<Science, Human Body>",<0000000000001><0000000000002><0000000000003>,,2
ANIMALS,Physical Links,,,,0,,,,,,,,,,,<0000000000004><0000000000005><0000000000006>,,2
CD For class IX,Physical Links,,,,0,,,Engligh,,,,,,,,<0000000000007><0000000000008>,,2
MICRO ECONOMICS,Physical Links,,9788184781069,TAXMANN PUBLICATIONS PVT LTD 2008,2008,,Economics,English,India,,,1317574513_8n6d6r.gif,,<DR ABHA MITTAL>,<Economics>,<0000000000033><0000000000034><0000000000035>,,3
1000 ECONOMICS QUIZ,Physical Links,,8171670601,RUPA & CO.,2011,,Economics,English,India,,,1315476110_xh5jrj.jpg,,<A N Agrawal>,<Economics>,<0000000000036><0000000000037><0000000000038><0000000000039><0000000000040>,,5
