Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
PRIYAJAN,1,,R.R Seth ni Co.,,,1,Gujarati,,891.47,,,,ANTANI VINESH,Literature,1,,0,80.00,,,,,,,
PALAV MA SANTAYELI PRIT,1,,Navbharat Sahitya Mandir,,,2,Gujarati,,891.47,,,,ASMANI BALVANT,Literature,2,,0,39.00,,,,,,,
DIVAN - E - AADAM,1,,Navbharat Sahitya Mandir,,,3,Gujarati,,891.47,,,,ABUWALA SHAIKHADAM,Literature,3,,0,130.00,,,,,,,
GUJARAT NA JYOTIRDHARO,1,,Gujarat Pustakalay Mandal,,,4,Gujarati,,891.47,,,,AMIN MOTIBHAI,Literature,4,,0,30.00,,,,,,,
MAHARSHI ARVIND,1,,Prakash Printing Press,,,5,Gujarati,,891.47,,,,ARVIND,Literature,5,,0,2.50,,,,,,,
VYAVHARU MARGDARSHAN,1,,Shree Arvind Society,,,6,Gujarati,,891.47,,,,ARVIND,Literature,6,,0,2.50,,,,,,,
VYAVHARU MARGDARSHAN - 2,1,,Shree Arvind Society,,,7,Gujarati,,891.47,,,,ARVIND,Literature,7,,0,2.50,,,,,,,
VYAVHARU MARGDARSHAN - 3,1,,Shree Arvind Society,,,8,Gujarati,,891.47,,,,ARVIND,Literature,8,,0,2.50,,,,,,,
SHREE MATAJI DIVYA SWARUP,1,,Shree Arvind Society,,,9,Gujarati,,891.47,,,,ARVIND,Literature,9,,0,3.50,,,,,,,
SHREE MATAJI DIVYA SWARUP,1,,Shree Arvind Society,,,10,Gujarati,,891.47,,,,ARVIND,Literature,10,,0,3.50,,,,,,,
PATRAWALI,1,,Shree Arvind Society,,,11,Gujarati,,891.47,,,,ARVIND,Literature,11,,0,1.75,,,,,,,
SANGRAM NI KSHANO,1,,Shree Arvind Society,,,12,Gujarati,,891.47,,,,ARVIND,Literature,12,,0,2.50,,,,,,,
SANGRAM NI KSHANO,1,,Shree Arvind Society,,,13,Gujarati,,891.47,,,,ARVIND,Literature,13,,0,2.50,,,,,,,
