Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
ibm pc and pc jr logo programming primer,0,,-,0,0,3G,a^ !J,,,,,,writer staf,,3G80,,0,0,,,,,456,COM,
"LATEST TOURIST GUIDE TO AURANGABAD, DAULATABAD, ELLORA AND AJANTA ETC.",0,,LAL CHAND AND SONS,0,0,5D,a^ !J,,,,,,-,,5D378,,0,60,,,,,48,YSPVN,
OXFORD SCHOOL ATLAS,30 mi&,,OXFORD UNIVERSITY PRESS,2002,0,5C,a^ !J,,,,,,-,,5C32,,0,79,,,,,96,YSPVN,
SUMEET RECIPE BOOK,0,,-,0,0,8I,a^ !J,,,,,,-,,8I109,,0,0,,,,,78,STRI,
general knowledge current affairs,0,,upkar prakashan,2002,0,4I,a^ !J,,,,,,khanna and verma,,4I59,,0,16,,,,,87,GNK,
CHILDRENS KNOWLEDGE BANK,CQQ&,,pustak mahal,1987,3,7C,a^ !J,,,,,,DR. SUNITA GUPTA,,7C18,,0,30,,,,,200,GNK,
runs n ruins,0,,rupa and co.,0,0,3F,a^ !J,,,,,,sunil gavaskar,,3F91,,0,20,,,,,172,SPORT,
THALASSAEMIA CAN BE PREVENTED,0,,MEDICAL COLLEGE BARODA,0,0,8D,a^ !J,,,,,,-,,8D5,,0,0,,,,,7,AYURVED,
YOGIC EQUALITY,0,,SRI AUROBINDO SOCIETY,0,0,18A,a^ !J,,,,,,-,,18A74,,0,0,,,,,80,-,
THE STUDWNTS ENGLISH-SANSKRIT DICTIONARY,Pwimi,,MOTILAL BANARSIDASS,1972,0,6G,a^ !J-sIsk{ti,,,,,,VAMAN SHIVRAM APTE,,6G32,,0,15,,,,,408,DIX,
OUR BIRTHDATE AND OUR FORTUNE NUMEROLOGY,Pwimi,,COSMO PUBLISHING HOUSE,2000,0,10C,a^ !J,,,,,,A. R. TARKHEDKAR,,10C174,,0,90,,,,,172,JYMTVS,
THE PERSIAN-ENGLISH DICTIONARY,0,,THE EDUCATIONAL PUBLISHING CO.,0,0,6G,"a^ !J,pi!rsi&ani",,,,,,ANANDRAM T. SHAHANI,,6G4,,0,0,,,,,802,DIX,
SPOKEN ENGLISH FOR CHILDREN,0,,NARAYAN AND CO. BOOK SELLERS,0,0,6I,"a^ !J,*hnD&",,,,,,NAGENDRA PD. SINGH,,6I10,,0,6.50,,,,,32,DIX,
k^pli&T giied,0,,bi(mbi! bi#k k^pini&,0,"1,2",6F,a^ !J-uD#}-gi#jriti&,,,,,,-,,6F14,,0,1.50,,,,,20,DIX,
RUSSION ENGLISH DICTIONARY,0,,MOSCOW RUSSKY YAZYK PUBLISHERS,0,0,6H,a^ !J-r*Siyini,,,,,,O. S. AKHMANOVA,,6H71,,0,0,,,,,536,DIX,
MATHERAN BOMBAYITE S HAVEN,ci(wi&,,SUDHA PRAKASHAN,1978,0,5D,a^ !J,,,,,,VASANT VAIDYA,,5D136,,0,1.50,,,,,64,YSPVN,
