"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"LATEST TOURIST GUIDE TO AURANGABAD DAULATABAD ELLORA AND AJANTA ETC.",,,"LAL CHAND AND SONS",0,0,"5D",,,,,,," ",,"5D378",,0,60,,,,,,,
"OXFORD SCHOOL ATLAS",,,"OXFORD UNIVERSITY PRESS",2002,0,"5C",,,,,,," ",,"5C32",,0,79,,,,,,,
"SUMEET RECIPE BOOK",,," ",0,0,"8I",,,,,,," ",,"8I109",,0,0,,,,,,,
"general knowledge current affairs",,,"upkar prakashan",2002,0,"4I",,,,,,,"khanna and verma",,"4I59",,0,16,,,,,,,
"CHILDRENS KNOWLEDGE BANK",,,"pustak mahal",1987,3,"7C",,,,,,,"DR. SUNITA GUPTA",,"7C18",,0,30,,,,,,,
"runs n ruins",,,"rupa and co.",0,0,"3F",,,,,,,"sunil gavaskar",,"3F91",,0,20,,,,,,,
"THALASSAEMIA CAN BE PREVENTED",,,"MEDICAL COLLEGE BARODA",0,0,"8D",,,,,,," ",,"8D5",,0,0,,,,,,,
"YOGIC EQUALITY",,,"SRI AUROBINDO SOCIETY",0,0,"18A",,,,,,," ",,"18A74",,0,0,,,,,,,
"THE STUDWNTS ENGLISH SANSKRIT DICTIONARY",,,"MOTILAL BANARSIDASS",1972,0,"6G",,,,,,,"VAMAN SHIVRAM APTE",,"6G32",,0,15,,,,,,,
"OUR BIRTHDATE AND OUR FORTUNE NUMEROLOGY",,,"COSMO PUBLISHING HOUSE",2000,0,"10C",,,,,,,"A. R. TARKHEDKAR",,"10C174",,0,90,,,,,,,
"THE PERSIAN ENGLISH DICTIONARY",,,"THE EDUCATIONAL PUBLISHING CO.",0,0,"6G",,,,,,,"ANANDRAM T. SHAHANI",,"6G4",,0,0,,,,,,,
"SPOKEN ENGLISH FOR CHILDREN",,,"NARAYAN AND CO. BOOK SELLERS",0,0,"6I",,,,,,,"NAGENDRA PD. SINGH",,"6I10",,0,6.5,,,,,,,
"RUSSION ENGLISH DICTIONARY",,,"MOSCOW RUSSKY YAZYK PUBLISHERS",0,0,"6H",,,,,,,"O. S. AKHMANOVA",,"6H71",,0,0,,,,,,,
"MATHERAN BOMBAYITE S HAVEN",,,"SUDHA PRAKASHAN",1978,0,"5D",,,,,,,"VASANT VAIDYA",,"5D136",,0,1.5,,,,,,,
"ABBEREVIATIONS USED IN THE DICATIONARY",,," ",0,0,"6F",,,,,,," ",,"6F45",,0,0,,,,,,,
"THE HIMALAYAN RETREAT",,,"LALIT ART MEDIA",1998,0,"5D",,,,,,," ",,"5D325",,0,100,,,,,,,
"VALMIKI RAMAYANA DARSHAN",,,"SAT VICHAR DARSHAN",2000,0,"16B",,,,,,," ",,"16B32",,0,30,,,,,,,
"computer for beginners",,,"pustak mahal",1994,0,"7B",,,,,,,"er. v. k. jain",,"7B7",,0,80,,,,,,,
"GALAS CONCISE DICTIONARY",,,"navneet publications limited",0,0,"6I",,,,,,,"L. R. GALA",,"6I18",,0,100,,,,,,,
"ALL INDIA MAGAZINE",,,"SRI AUROBINDO SOCIETY",0,0,"18A",,,,,,," ",,"18A56",,0,0,,,,,,,
"GUJARATI SELF INSTRUCTOR",,,"C. W. SHAHANI",0,"1 2","6H",,,,,,,"a. t. shahani",,"6H25",,0,7,,,,,,,
