"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"REVENGE OF THE LAWN GNOMES",,,"SCHOLASTIC",,"A1",1,,,,,,,"R.L.STINE",,"E1/7",,0,"$3.99 ",,,,,,,
"HOW I GOT MY SHRUNKEN HEAD",,,"SCHOLASTIC",,"A1",2,,,,,,,"R.L.STINE",,"E2/7",,0,"$3.99 ",,,,,,,
"THE BEAST FROM THE EAST",,,"SCHOLASTIC",,"A1",3,,,,,,,"R.L.STINE",,"E3/7",,0,"$3.99 ",,,,,,,
"PIANO LESSONS CAN BE MURDER",,,"SCHOLASTIC",,"A1",4,,,,,,,"R.L.STINE",,"E4/7",,0,"$3.99 ",,,,,,,
"LEGEND OF THE LOST LEGEND",,,"SCHOLASTIC",,"A1",5,,,,,,,"R.L.STINE",,"E5/7",,0,"$3.99 ",,,,,,,
"BODY SWITCHERS FROM OUTER SPACE",,,"SCHOLASTIC",,"A1",6,,,,,,,"R.L.STINE",,"E6/7",,0,"$3.99 ",,,,,,,
"LETS GET INVISIBLE",,,"SCHOLASTIC",,"A1",7,,,,,,,"R.L.STINE",,"E7/7",,0,"$3.99 ",,,,,,,
"CALLING ALL CREEPS",,,"SCHOLASTIC",,"A1",8,,,,,,,"R.L.STINE",,"E8/7",,0,"$3.99 ",,,,,,,
"THE DEADLY EXPERIMENTS OF DR.EEEK",,,"SCHOLASTIC",,"A1",9,,,,,,,"R.L.STINE",,"E9/7",,0,"$3.99 ",,,,,,,
"THE TWISTED TALE OFTIKI ISLAND",,,"SCHOLASTIC",,"A1",10,,,,,,,"R.L.STINE",,"E10/7",,0,"$3.99 ",,,,,,,
"SCREAM OF THE EVIL GENIE",,,"SCHOLASTIC",,"A1",11,,,,,,,"R.L.STINE",,"E11/7",,0,"$3.99 ",,,,,,,
"UNDER THE MEGICIANS SPELL",,,"SCHOLASTIC",,"A1",12,,,,,,,"R.L.STINE",,"E12/7",,0,"$3.99 ",,,,,,,
"YOUNG SHERLOCK HOLMES SNAKE BITE",,,"MACMILLAN CHILDRENS BOOKS",,"A1",13,,,,,,,"ANDREW LANE ",,"E13/7",,0,"$2.99 ",,,,,,,
"THE BEAST FROM THE EAST",,,"SCHOLASTIC",,"A1",14,,,,,,,"R.L.STINE",,"E14/7",,0,"$3.99 ",,,,,,,
"YOU CANT SCARE ME!",,,"SCHOLASTIC",,"A1",15,,,,,,,"R.L.STINE",,"E15/7",,0,"$3.99 ",,,,,,,
"DONT GO TO SLEEP!",,,"SCHOLASTIC",,"A1",16,,,,,,,"R.L.STINE",,"E16/7",,0,"$3.99 ",,,,,,,
"AND THE PRISONER OF AZKABAN",,,"SCHOLASTIC",,"A1",17,,,,,,,"J.K.ROWLINGS",,"E17/7",,0,"$7.99 ",,,,,,,
"AND THE SORCRES STONE",,,"SCHOLASTIC",,"A1",19,,,,,,,"J.K.ROWLINGS",,"E19/7",,0,"$7.99 ",,,,,,,
"BABY SITTERS LITTLE SISTER",,,"SCHOLASTIC",,"A1",20,,,,,,,"ANN M. MARTIN",,"E20/7",,0,"$3.99 ",,,,,,,
"THE ADVENTURE OF ROBINSON CRUSOE",,,"BARONET BOOKS",,"A1",21,,,,,,,"DANIEL DEFOE",,"E 21/7",,0,"250/-",,,,,,,
"SWEET VALLEY KIDS",,,"A BANTAM BOOK",,"A1",22,,,,,,,"MOIIY MIA STEWART ",,"E22/7",,0,"$3.95 ",,,,,,,
"NANCY DREW",,,"SIMON AND SCHUSTER SPOTLIGHT",,"A1",23,,,,,,,"CAROLYN KEENE",,"E 23/7",,0,,,,,,,,
"HAUNTING AT HOME PLATE",,,"SCHOLASTIC",,"A1",24,,,,,,,"DAVID PATNEAUDE",,"E 24/7",,0,,,,,,,,
"POLAR BEARS PAST BEDTIME",,,"SCHOLASTIC",,"A1",25,,,,,,,"MARY POPE OSBORNE",,"E 25/7",,0,"$3.99 ",,,,,,,
"MARVIN REDPOST",,,"SCHOLASTIC",,"A1",26,,,,,,,"LOISE SACHAR",,"E 26/7",,0,,,,,,,,
"THE TREE HOUSE TIMES",,,"AMEX COMPANY LIMITED",,"A1",27,,,,,,,"PAGE McBIER",,"E 27/7",,0,"$2.50 ",,,,,,,
