"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"I Can Read Series (Snow White) Level - 1",,"978-81-8499-893-1","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",1,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Puss in Boots) Level - 1",,"978-81-8499-892-4","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",2,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Pincchio) Level - 1",,"978-81-8499-891-7","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",3,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (The Hare and the Tortoise) Level - 1",,"978-81-8499-894-8","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",4,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (The Jack and the Beanstalk) Level - 1",,"978-81-8499-885-6","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",5,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Little ReadRiding Hood) Level - 1",,"978-81-8499-888-7","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",6,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Beauty and the Beats) Level - 1",,"978-81-8499-882-5","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",7,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Blinky Bill) Level - 1",,"978-81-8499-883-2","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",8,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Series (Peter and The Wolf) Level - 1",,"978-81-8499-889-4","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",9,,0,85,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno The Artist",,"978-81-7686-116-8","SHREE",,,,,,"823/BRU",,,,,"STORY",10,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno Put Your Toy Away",,"978-81-7686-113-7","SHREE",,,,,,"823/BRU",,,,,"STORY",11,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno Learn to Share",,"978-81-7686-114-4","SHREE",,,,,,"823/BRU",,,,,"STORY",12,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno Tell the Truth",,"978-81-7686-115-1","SHREE",,,,,,"823/BRU",,,,,"STORY",13,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno Get Lost",,"978-81-7686-117-5","SHREE",,,,,,"823/BRU",,,,,"STORY",14,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bruno Find Balls",,"978-81-7686-118-2","SHREE",,,,,,"823/BRU",,,,,"STORY",15,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper play with Fire",,"978-81-207-7442-7","SHREE",,,,,,"823/PEP",,,,,"STORY",16,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Clean His Room",,"978-81-207-7457-7","SHREE",,,,,,"823/PEP",,,,,"STORY",17,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Crosses the Road",,"978-81-207-7438-4","SHREE",,,,,,"823/PEP",,,,,"STORY",18,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Eats Green Vegetable",,"978-81-207-7440-7","SHREE",,,,,,"823/PEP",,,,,"STORY",19,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Is Selfish",,"978-81-207-7439-1","SHREE",,,,,,"823/PEP",,,,,"STORY",20,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Is Careless",,"978-81-207-7441-4","SHREE",,,,,,"823/PEP",,,,,"STORY",21,,0,40,,"BULSAR BOOK STORE",,,,"STORY",
