Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
The World Book Encyclopedia A,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000001,English,Chicago,30,,,,,Encyclopedia,A000001,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia B,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000002,English,Chicago,30,,,,,Encyclopedia,A000002,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia C-Ch,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000003,English,Chicago,30,,,,,Encyclopedia,A000003,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia Ci-Cz,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000004,English,Chicago,30,,,,,Encyclopedia,A000004,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia D,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000005,English,Chicago,30,,,,,Encyclopedia,A000005,,,3118,,Indigo Direct Marketing Ltd,,,,,
THe World Book Encyclopedia E,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000006,English,Chicago,30,,,,,Encyclopedia,A000006,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia F,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000007,English,Chicago,30,,,,,Encyclopedia,A000007,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia G,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000008,English,Chicago,30,,,,,Encyclopedia,A000008,,,3118,,Indigo Direct Marketing Ltd,,,,,
The World Book Encyclopedia H,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000009,English,Chicago,30,,,,,Encyclopedia,A000009,,,3118,,Indigo Direct Marketing Ltd,,,,,
THe World Book Encyclopedia I,,0-7166-0106-0,World Book Inc,2007,The World Book Encyclopedia,A000010,English,Chicago,30,,,,,Encyclopedia,A000010,,,3118,,Indigo Direct Marketing Ltd,,,,,
