"Three Party Authentication Key Distributed Protocols Using Implicit and Explicit Quantum Cryptography",,9765166,,,,,,"English","India",,,,,"Dr.G.Ananda Rao><Y.Srinivas, J.Vijaya Sekhar><Ch.Pavan Kumar","Computer Science",,,,,"http://www.ijcse.com/docs/IJCSE11-02-02-08.pdf",,,2,2,"3AQKDP (implicit) /3AQKDPMA (explicit)/cryptography/Quantum Cryptography",,,,,,,,,"April-May 2011",,"Cryptography is the science of information security. Applications of cryptography include ATM cards, computer passwords, and electronic commerce. The combination of Implicit quantum key distribution protocol (3AQKDP) and explicit quantum key distribution protocol (3AQKDPMA) are used to form the new combination and demonstrate the following merits: Establishment of a secure connection which can prevent attacks such as eavesdropping, man-in-the-middle and replay. Reduction in communication rounds among existing QKDPs, improves efficiency of proposed protocols. A long term secret key can be used and shared between two parties repeatedly. Classical cryptography methods currently used are unsafe and cannot detect the existence of passive attacks such as eavesdropping. Hence the combination of both classical as well as quantum cryptography is proposed.",,,,,,,,,,,,"Indian Journal of Computer Science and Engineering",,
"Assessment of air quality in Shivamoga City, Karnataka (India)",,20667620,,,,,,"English","Romania",,,,,"Thirumala Siddalingappa><H. B. Aravinda>< H. Makari","Environmental Engineering",,,,,"http://www.aes.bioflux.com.ro/docs/2011.3.12-16.pdf?AdobeSystemsPDFv17=8de658166e2a101df8d4ced66d61c8e9bd559843|1308298983#PDFP",,,3,1,"air quality, Karnataka, India, 2005-2009.",,,,,,,,,"January,2011",,"Assessment of the ambient air quality status in the selected location of Shivamoga city Karnataka State India was carried out for four years (2005 - 2009). Four stations (industrial, commercial, institutional and residential) of Shivamoga city were selected purposively to spotlight an overview of the total air quality of this region. The air quality was assessed based on measuring three air pollutants namely Suspended Particulate Matter (SPM), Oxides of Nitrogen (NOx) and Oxides of Sulphur (SOx). The average concentration of SPM in Amir Ahmed circle was the highest at 969.43 μg/m3 and was lowest at the Sahayadri college Campus (65.59 μg/m3). Vinobha nagar with an average of 803.46 μg/m3 is in the medium range as well as industrial area (269.00 μg/m3). The study shows that the average NO2 concentration was highest in Amir Ahmed circle (6.79 μg/m3), followed by Vinobha nagar (6.06 μg/m3), industrial area (2.97 μg/m3) and Sahayadri college Campus (1.97 μg/m3). The average SO2 concentration except Vinobha Nagr station (6.59 μg/m3) in all the other locations was below the detection level, i.e. 4 μg/m3. Amir Ahmed circle had the second highest value (2.89 μg/m3) followed by industrial area (1.49 μg/m3) and Sahayadri college campus (1.22 μg/m3). According to the air quality standards given by NAAQS and WHO standards, the SPM concentrations is high in Amir Ahmed circle and Industrial Area locations and SO2 and NOx pollutants values obtained are all within the standard level. Uncontrolled emission of pollutants by motorized traffic with heavy traffic jam is the main source of pollution in the urban area mainly.",,,,,,,,,,,,"Advances in Environmental Sciences",,
"Performance Evaluation of a Heavy Duty Chisel Plow at Various Tillage Depth and   Forward Speeds",,19417020,,,,,,"English","USA",,,,,"S.A. Al-Suhaibani><A.E. Ghaly","General and Civil Engineering",,,,,"http://www.scipub.org/fulltext/ajeas/ajeas34588-596.pdf",,,3,4,"Tillage, draft, unit draft, specific draft, coefficient of pull, sandy soil, instrumentation, chisel plow",,,,,,,,,2010,,"Tillage, draft, unit draft, specific draft, coefficient of pull, sandy soil, instrumentation, chisel plow Tillage is a process of creating a desirable soil condition for seed germination and growth. The tillage of soil is considered to be one of the biggest farm operations as the tillage operation requires the most energy on the farm. Manufacturers of tillage implements tend to overdesign their products due to a lack of the proper testing and analysis of tillage tools and the technical expertise required to optimize the farm operations. Chisel plow is widely used by farmers as a primary tillage tool. Performance data for chisel plow operation is essential in order to optimize its performance and reduce the cost of tillage operation. ",,,,,,,,,,,,"American Journal of Engineering and Applied Sciences",,
"Estimating the Distribution of Air Voids in Concrete",,14109530,,,,,,"English","Indonesia",,,,,"Beasman, L.E.><McCuen, R.H.","General and Civil Engineering",,,,,"http://puslit2.petra.ac.id/ejournal/index.php/civ/article/shop/18103/17995",,,13,1,"Concrete, air voids, gradation curves, simulation, linear-traverse method.",,,,,,,,,"March, 2011",,"Chord length measurements are used to estimate the volumetric distribution of air voids within hardened concrete samples. The accuracy of the Linear-Traverse method is questionable because chord lengths do not directly represent the actual volumes of the air voids. Using computer simulation, randomly generated concrete samples were analyzed using the Linear-Traverse method to compute the distribution of air voids, the chord length gradation curve, the chord length-to-traverse ratio, and the air void volume gradation curve. The current chord-length approach significantly underestimated the air void content. A method that estimates that air void gradation curve from the chord length gradation curve is presented. The computer simulation results are supported by a conceptual analysis. To obtain the most accurate estimate of the air void content, computer analyses showed that at least 15 traverse lines should be regularly spaced on the concrete sample.",,,,,,,,,,,,"Civil Engineering Dimension,",,
"Study of existence of linear and nonlinear wave in a non-Darcian fluid saturated porous medium ",,13136550,,,,,,"English","Bulgaria",,,,,"L. N. Achala><M. Venkatachalappa><N. Rudraiah","Mechanical Engineering",,,,,"http://www.m-hikari.com/atam/atam2010/atam9-12-2010/achalaATAM9-12-2010.pdf",,,3,11,"nonlinear wave, heterogeneous fluid, porous medium, Darcy-Lapwood- Forchheimer model, travelling waves, periodic waves",,,,,,,,,2010,,"Study of linear and nonlinear wave propagation in a heterogeneous fluid saturated porous medium is studied using both numerical and analytical techniques considering Darcy-Lapwood-Forchheimer model. This model leads to a system of nonlinear partial differential equations which are then reduced to two nonlinear ordinary differential equations with the help of an intermediate integral. In general, we observe that both linear and nonlinear travelling waves are non periodic. These waves are found to be periodic only when they propagate either horizontally or vertically for small porous parameter σ . Similar behaviour of waves is observed even in the Darcy regime. For a general reduced system there exist two singularities but in particular we have shown that for horizontally propagating waves or in the absence of quadratic drag, there exists only one singular point. The system of equations are linearised about this singular point and the nature of the waves is studied. The observations made in this paper can help to select a suitable material in material processing for specific end application and also help in better understanding of medical imaging techniques.",,,,,,,,,,,,"Advances in Theoretical and Applied Mechanics ",,
"Uses of liquid-metal and water heat pipes in space reactor power systems",,"2155658X",,,,,,"English","USA",,,,,"Mohamed S. El-Genk, Jean-Michel P. Tournier","Mechanical Engineering",,,,,"https://www.thermalfluidscentral.org/journals/index.php/Heat_Pipes/article/view/128",,,2,1,"liquid-metal, heat pipes , power systems, reactor power systems",,,,,,,,,2011,,"Water and liquid-metal heat pipes are considered for redundant and passive cooling of nuclear reactors and redundant operation of light-weight heat rejection radiators of space reactor power systems. The systems operate continuously for many years independent of the Sun, are enabling of deep space exploration and could provide 10's of kilowatts of electrical power for lunar and Martian outposts. Space reactors typically operate at 900 K – 1400 K could be cooled using liquid-metal heat pipes with either sodium (900 – 1100 K) or lithium (1100 K – 1400 K) working fluids. The heat rejection temperatures dictate the working fluid of the radiator heat pipes; potassium for 600 – 800 K, rubidium for 500 – 700 K, and water for < 500 K. These working fluids would be frozen prior to starting up the power systems in orbit or at destination. The startup of water and liquid-metal heat pipes from a frozen state is complex, involving a number of non-linear mass and heat transport processes that require implementing appropriate procedures, depending on the type of working fluid. This paper reviews operation and design constraints pertinent to the uses of water and liquidmetal heat pipes in space reactor systems, and the modeling capabilities of the startup from a frozen state. In addition to models validation, results of design optimization of liquid-metal and water heat pipes in a number of space reactor power systems are presented and discussed.",,,,,,,,,,,,"Frontiers in Heat Pipes",,
"On the Precipitation of Hydrides in Metals under Stress - Finite Deformation Approach",,18741584,,,,,,"English","USA",,,,,"Andreas G. Varias","Mechanical Engineering",,,,,"http://www.benthamscience.com/open/tomechj/articles/V004/1TOMECHJ.pdf",,,4,,"Terminal solid solubility, hydrogen, hydride.",,,,,,,,,2010,,"An analytic relation for the terminal solid solubility of hydrogen in a stressed metal is derived, based on finite deformation theory. Phase transformation is assumed to be a reversible process, which occurs under local chemical equilibrium among hydride, metal and hydrogen in solid solution. Hydrogen terminal solid solubility depends on stress due to the interaction of the applied stress field with the field of the expanding hydride as well as due to the reduction of hydrogen chemical potential in solid solution, caused by hydrostatic stress. The present analysis is complementary to hydrideinduced embrittlement studies in metals, under conditions, which require the use of finite deformations. ",,,,,,,,,,,,"The Open Mechanics Journal,",,
"Development of a Thermal Energy Storage for the Integration Solar Energy Project",,2579669,,,,,,"English","South Africa",,,,,"S.A. Sulaiman><F.L. Inambao","Mechanical Engineering",,,,,"http://www.saimeche.org.za/resource/collection/48753329-D6D0-4C4B-ADAD-27DC86A4EE14/2009_06_Sulaiman_and_Inambao_-_FINAL_-_2010__26__6-11.pdf",,,26,,"Solar cooking, molten salt, sodium nitrate, potassium nitrate",,,,,,,,,2010,,"Large percentages of the South African population have no access to grid power and are located at distances that make provision for such facility uneconomical. Also traditional fuels are under pressure. Most areas in South Africa receive 300 days of sunshine per year. The proposed solar system addresses the needs of such communities. The main objective of the paper is the development of a solar thermal energy storage system utilizing phase change material (PCM). The system allows for sensible heat storage as well as latent heat storage using PCM, which melts at sufficiently high temperatures for cooking a variety of food types. The right choice of a suitable PCM to take advantage of the latent heat absorbed during phase changes is important. The system can overcome the time mismatch between solar availability and demand. The developed prototype modules together as a system could provide the essential domestic power requirements of the target groups. This includes power for cooking and hot water provision. The thermal performance of the system was studied by experiments and selected results showed that the heat storage ratio of the cooker is relatively high and increases proportionately with higher heating power levels through the heat transfer pipe. Also during the phase change process, the heat storage cooker can provide a stable heat discharge rate and meet the demand for indoor thermal comfort to an acceptable extent. A mixture of sodium nitrate and potassium nitrate as latent heat storage offers an advantage compared to other materials, particularly when the cycling temperature is close to the phase change temperature and the phase change can be used quite frequently.",,,,,,,,,,,,"R&D Journal",,
"Building interactive modeling for construction education in virtual worlds",,14006529,,,,,,"English","Sweden",,,,,"Kihong Ku><Pushkar S. Mahabaleshwarkar","Civil Engineering",,,,,"http://www.itcon.org/cgi-bin/works/Show?2011_13",,,16,,"Building interactive Modeling, Virtual, Remote Collaboration, Role playing, Scenario, Building Information Modeling",,,,,,,,,"June,2010",,"The number of design and construction professionals who are using Building Information Modeling (BIM) is rapidly growing and simultaneously the architecture, engineering, and construction (AEC) community is faced with the challenge of remote collaboration as offshore outsourcing continues to grow. While BIM facilitates information sharing between AEC professionals via purpose-built three-dimensional (3D), 4D design, analysis, evaluation, and documentation models, the communication of such 3D data-rich models if often fragmented and typically limits real-time communication and interaction of users who may be geographically dispersed and/or lack the modeling and analyses skills to interact with these models. AEC education needs to expose students to these emerging practice changes while finding new ways to more effectively address the fundamentals of design and construction. Virtual worlds – in this research the Second Life platform – have the potential to address the communication issues and effectively complement traditional teaching approaches and furthermore integrate with BIM to enhance construction education. Nevertheless, despite the potential benefits of virtual worlds, various obstacles exist. This paper presents the concept of Building interactive Modeling (BiM) which complements the capabilities of BIM with social interaction to enhance collaborative information and knowledge sharing. Role-playing scenarios developed in Second Life demonstrate specific opportunities of BiM.",,,,,,,,,,,,"Electronic Journal of Information Technology in Construction",,
"Wireless Technologies for Integrated e-Operations in Offshore Environments",,14439255,,,,,,"English","Australia",,,,,"Halgamuge MN><Liyanage JP><Mendis P","Civil Engineering",,,,,"http://www.ejse.org/",,,"special Issue",,"Assets management, Integrated operations, offshore oil & gas production, wireless communication,",,,,,,,,,2010,,,,,,,,,,,,,,"Electronic Journal of Structural Engineering",,
"Applicability of Engineered Wetland Systems for Wastewater Treatment in Tanzania – A Review",,18748295,,,,,,"English","USA",,,,,"Stephen E. Mbuligwe><Mengiseny E. Kaseva><Gabriel R. Kassenga","Environmental Engineering",,,,,"http://www.benthamscience.com/open/toenviej/articles/V004/18TOENVIEJ.pdf",,,4,,"Engineered wetland systems (EWSs), Natural wetland systems, Treatment mechanisms, Wetlands classification,Wetlands performance. ",,,,,,,,,2011,,"In the literature on treatment wetlands, a technology that is fast gaining popularity in Tanzania as well as elsewhere in the world, there are misconceptions and missing background links which do not auger well for the development and dissemination of the technology. The misconceptions and missing links pertain to the background, types and classification, treatment mechanisms, and applicability of the technology. These deficiencies constitute the premise of this paper. The paper outlines the background of engineered wetland systems (EWSs) starting with natural treatment systems as a whole, expounding on the reversible transformations between wetlands and aquatic as well as land treatment systems. It particularly dwells on the background, classification, components, functions, treatment mechanisms, and performance as well as applicability of EWSs. Notably, the paper encompasses a discussion on mechanisms that affect pollutants removal in non – conventional EWSs like those employed in environmental remediation of contaminated sites. The paper also profiles treatment performance efficiency data for some existing EWSs. Furthermore, it discusses the applicability of the technology in Tanzania.",,,,,,,,,,,,"The Open Environmental Engineering Journal",,
