"STRUCTURAL ANALYSIS-I ","BOOK","THIRD",,"ATUL PRAKASHAN","2011-2012",,,,"ENGLISH","AHMEDABAD",,,,,"DR.R.P.RETHALIYA ","CIVIL",3115,"S.Y. TEXT BOOK (III)",30,275,,648
"ENGINEERING MATHEMATICS-III :DIFFERENTIAL EQUATIONS AND INTEGRAL TRANSFORMS","BOOK","SECOND",,"ATUL PRAKASHAN","2010-2011",,,,"ENGLISH","AHMEDABAD",,,,,"DR.SHAILESH S. PATEL &DR. NARENDRA B. DESAI","MATHEMATICS",3145,"S.Y. TEXT BOOK (III)",50,275,,731
"DIFFERENTIAL EQUATIONS  : (FROM ENGINEERING VIEWPOINT)","BOOK","SECOND","978-93-80867-02","BOOK INDIA PUBLICATIONS",2010,,,,"ENGLISH","AHMEDABAD",,,,,"Dr. R.C. SHAH ","MATHEMATICS",3195,"S.Y. TEXT BOOK (III)",100,350,"E-MAIL : bookind@gmail.com","X + 481 A-35 + C-3"
"CIRCUITS AND NETWORKS ","BOOK","FIFTH","978-93-80109-55-8","MAJAN PUBLISHING HOUSE","2010-11",,,,"ENGLISH","AHMEDABAD",,,,,"U .A.  PATEL","E.C.",3295,"S.Y. TEXT BOOK (III)",18,480,"email: mahajanbook.com &www.mahajanbook.com","XVI +1.53+2.111+3.61+4.62+5.45+6.58+7.60+8.30+9.81+10.158+11.194+12.152+71"
"CIRCUITS AND NETWORKS ","BOOK","FIFTH","978-93-80109-55-8","MAJAN PUBLISHING HOUSE","2010-11",,,,"ENGLISH","AHMEDABAD",,,,,"U .A.  PATEL","E.C.",3313,"S.Y. TEXT BOOK (III)",12,480,"email: mahajanbook.com &www.mahajanbook.com","XVI +1.53+2.111+3.61+4.62+5.45+6.58+7.60+8.30+9.81+10.158+11.194+12.152+71"
"FLUID MECHANICS","BOOK","FIRST","978-93-80109-51-0","MAJAN PUBLISHING HOUSE",2010,,,,"ENGLISH","AHMEDABAD",,,,,"DR.R.K. JAIN  & B.R. SHAH","CIVIL",3325,"S.Y. TEXT BOOK (III)",30,250,"email: mahajanbook.com &www.mahajanbook.com","1.20+2.29+3.42+4.48+5.75+6.93+7.62+8.49+9.41+A-5"
"SURVEYING ","BOOK","FIRST","978-93-80109-79-4","MAJAN PUBLISHING HOUSE",2010,,,,"ENGLISH","AHMEDABAD",,,,,"R.B. KHASIYA","CIVIL",3355,"S.Y. TEXT BOOK (III)",30,220,"email: mahajanbook.com &www.mahajanbook.com","X+1.26+2.110+3.34+4.96+5.80+6.34+7.18+A-5"
"MILLMAN'S INTEGRATED ELECTRONICS:ANALOG AND DIGITAL CIRCUITS AND SYSTEMS","BOOK","SECOND ","978-0-07-015142-0","TATA McGRAW-HILL PUB.",2010,,,,"ENGLISH","NEW DELHI",,,,,"JACOB MILLMAN & CHRISTOS HALKIAS & CHETAN D PARIKH","EC",3385,"S.Y.REFERANCE(III)",46,410,"WWW.TATAMCGAWHILL.C0M","XXIII+858"
"AN INTRODUCTION TO DATA STRUCTURES WITH APPLICATIONS","BOOK","SECOND ","978-0-07-462471-5","TATA McGRAW-HILL PUB.",2009,,,,"ENGLISH","NEW DELHI",,,,,"JEAN-PAUL TREMBLAY.& PAUL G.SORENSON","I.T.",3431,"S.Y.REFERANCE(III)",5,385,"WWW.TATAMCGAWHILL.C0M","XVIII+861"
"ANALYSIS & DESIGN OF INFORMATION SYSTEMS","BOOK","SECOND ","978-0-07-014090-5","TATA McGRAW-HILL PUB.","2009-10",,,,"ENGLISH","NEW DELHI",,,,,"JAMES A. SENN","I.T.",3436,"S.Y.REFERANCE(III)",5,495,"WWW.TATAMCGAWHILL.C0M","XVIII +853"
"SYSTEMS ANALYSIS, DESIGN AND INTRODUCTION TO  SOFTWARE ENGINEERING  (SADSE) :WITH ILLUSTRATIONS AND SOLVED CASE STUDIES","BOOK","TWELVE",,"MASTER ACADEMY",2010,,,,"ENGLISH","MAHARASTRA",,,,,"S.PARTHASARATHY&B.W.KHALKAR","I.T.",3441,"S.Y.REFERANCE(III)",5,300,"email:<masteracademy2004@yahoo.co.in>","III+432"
"DATA STRUCTURES THROUGH-C :A PRACTICAL APPROACH","BOOK","FOURTH",,"DHANPAT RAI & CO.","2009-10",,,,"ENGLISH","NEW DELHI",,,,,"G.S. BALUJA","I.T.",3446,"S.Y.REFERANCE(III)",5,250,,"VI + 651"
"BUILDING DRAWING : WITH AN INTEGRATED APPROACH TO  BUILT ENVIRONMENT","BOOK","FOURTH (18TH  REPRINT)","978-0-07-463876-7","TATA McGRAW-HILL PUB.",2011,,,,"ENGLISH","NEW DELHI",,,,,"M G SHAH & C M KALA& S Y PATKI","CIVIL",3451,"S.Y.REFERANCE(III)",30,510,"WWW.TATAMCGAWHILL.C0M","XX+404"
"A TEXT BOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES (IN SI UNIT)","BOOK","FOURTH ","81-219-1666-6","S.CHAND .",2011,,,,"ENGLISH","NEW DELHI",,,,,"R. K. RAJPUT","MACHANICAL",3481,"S.Y.REFERANCE(III)",10,545,"www.schandgrop.com ","XXIX + 1373 +50+VI"
"A TEXT BOOK OF MACHINE DESIGN","BOOK",,"81-219-2537-1","S.CHAND .",2011,,,,"ENGLISH","NEW DELHI",,,,,"R.S. KHURMI & J .K. GUPTA","MACHANICAL",3491,"S.Y. TEXT BOOK (III)",26,675,"www.schandgrop.com ","XVI + 1230"
"CONCRETE TECHNOLOGY : (THEORY & PRACTICE)","BOOK",,"81-219-0003-4","S.CHAND .",2011,,,,"ENGLISH","NEW DELHI",,,,,"M.S. SHETTY","CIVIL",3517,"S.Y. TEXT BOOK (III)",30,425,"www.schandgrop.com ","XXXII + 624"
"BASIC ELECTRONICS (WITH CD)","BOOK+CD","THIRD","978-81-8492-163-2","TECH-MAX PUB.",2011,,,,"ENGLISH","PUNE(MAHARASHTRA)",,,,,"J.S. KATRE","E.C.",3547,"S.Y. TEXT BOOK (III)",30,265,"www.techmaxbooks.com","23+1.25+2.53+3.64+4.29+5.80+6.66+7.111+8.48+9.106+10.87+A-9"
"DIGITAL LOGIC AND COMPUTER DESIGN","BOOK",,"978-81-775-8409-7","PEARSON",1979,,,,"ENGLISH","NEW DELHI",,,,,"M.MORRIS MANO","E.C.",3577,"S.Y. TEXT BOOK (III)",90,350,"www.pearsoned.co.in","XII + 612"
"FUNDAMENTALS OF DIGITAL CIRCUITS","BOOK","SECOND","978-81-203-3679-7","         PHI  LEARNING (P.LTD )",2009,,,,"ENGLISH","NEW DELHI",,,,,"A.ANANDKUMAR","E.C.",3667,"S.Y. TEXT BOOK (III)",15,375,"www.phindia.com","XXV + 918"
"OP-AMPS AND LINEAR INTEGRATED CIRCUITS","BOOK","FOUR","978-81-203-2058-1","         PHI  LEARNING (P.LTD )",2011,,,,"ENGLISH","NEW DELHI",,,,,"RAMAKANT A.GAYAKWAD","E.C.",3682,"S.Y. TEXT BOOK (III)",28,250,"www.phindia.com","XV + 543"
"SQL,PL / SQL :THE PROGRAMMING LANGUAGE OF ORACLE","BOOK","FORTH  REVISED ED.","81-7656-964-X","BPB PUBLICATION",2011,,,,"ENGLISH","NEW DELHI",,,,,"IVAN  BAYROSS","I.T.",3710,"S.Y. TEXT BOOK (III)",23,360,"www.bpbonline.com","XII + 470"
"A TEXT BOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES ( S.I. UNITS)","BOOK","NINTH  REVISED ED.","978-81-3180815-3","LAXMI PUB.(P. LTD)",2010,,,,"ENGLISH","NEW DELHI",,,,,"DR.R.K.BANSAL","MECHANICAL",3733,"S.Y. TEXT BOOK (III)",40,495,"www.laxmipublications.com","XXVI + 1102"
"SURVEYING-VOLUME-I","BOOK","SIXTEENTH","81-70008-853-4","LAXMI PUB.(P. LTD)",2009,,,,"ENGLISH","NEW DELHI",,,,,"DR.B.C.PUNMIA & ASHOK K. JAIN & ARUN K. JAIN","CIVIL",3773,"S.Y. TEXT BOOK (III)",5,300,"www.laxmipublications.com","XVI + 536 +53"
"SURVEYING-VOLUME-II","BOOK","FIFTEENTH","81-7008-883-6","LAXMI PUB.(P. LTD)",2011,,,,"ENGLISH","NEW DELHI",,,,,"DR.B.C.PUNMIA & ASHOK K. JAIN & ARUN K. JAIN","CIVIL",3778,"S.Y. TEXT BOOK (III)",5,335,"www.laxmipublications.com","X+658+12"
"SURVEYING-VOLUME-III : HIGHER SURVEYING","BOOK","FIFTEENTH","81-7008-825-9","LAXMI PUB.(P. LTD)",2011,,,,"ENGLISH","NEW DELHI",,,,,"DR.B.C.PUNMIA & ASHOK K. JAIN & ARUN K. JAIN","CIVIL",3783,"S.Y. TEXT BOOK (III)",5,150,"www.laxmipublications.com","IX+274"
"SURVEYING-VOLUME-I (IN SI UNITS)","BOOK","TWELVE","81-89401-23-8","STANDERD BOOK HOUSE;RAJSONS PUB.(P.LTD)",2011,,,,"ENGLISH","NEW DELHI",,,,,"DR.K.R.ARORA","CIVIL",3788,"S.Y. TEXT BOOK (III)",5,240,"www.standerdbookhouse.com","XIV+681"
"SURVEYING-VOLUME-II (IN SI UNITS)","BOOK","ELEVENTH","81-89401-24-5","STANDERD BOOK HOUSE;RAJSONS PUB.(P.LTD)",2011,,,,"ENGLISH","NEW DELHI",,,,,"DR.K.R.ARORA","CIVIL",3793,"S.Y. TEXT BOOK (III)",5,240,"www.standerdbookhouse.com","XIII+681"
"SURVEYING-VOLUME-III (IN SI UNITS)","BOOK","NINTH","81-89401-27-6","STANDERD BOOK HOUSE;RAJSONS PUB.(P.LTD)",2011,,,,"ENGLISH","NEW DELHI",,,,,"DR.K.R.ARORA","CIVIL",3798,"S.Y. TEXT BOOK (III)",5,120,"www.standerdbookhouse.com","XI+482"
