National Portal Of India,,,,,,,,,India,,,,,,Government,,,,,http://india.gov.in/,,,,,"Central Government, Indian government,Government site, Government, India.gov.in"
National Informatics Centre (NIC),,,,,,,,,India,,,,,,Government,,,,,http://www.nic.in/,,,,,"Central Government, Indian government,Government site, Government, nic.in"
National Knowledge Network(NKN),,,,,,,,,India,,,,,,Government,,,,,http://nkn.in/,,,,,"Central Government, Indian government,Government site, Government,nkn.in"
Ministry of Finance,,,,,,,,,India,,,,,,Government,,,,,http://finmin.nic.in/,,,,,"Central Government, Indian government,Government site, Government, Finmin.nic.in"
Government of Gujarat,,,,,,,,,India,,,,,,Government,,,,,http://www.gujaratindia.com/,,,,,"State Government, Gujarat government,Government site, Government,gujaratindia.com"
Government of Tamil Nadu,,,,,,,,,India,,,,,,Government,,,,,http://www.tn.gov.in/,,,,,"State Government, Tamil Nadu government, Government site, Government, Tn.gov.in"
Government of Uttar Pradesh,,,,,,,,,India,,,,,,Government,,,,,http://upgov.nic.in/,,,,,"State Government, Uttar Pradesh government, Government site, Government, Upgov.nic.in"
Government of Karnataka,,,,,,,,,India,,,,,,Government,,,,,http://www.karnataka.gov.in/Pages/Default.aspx,,,,,"State Government, GKarnataka government, Government site, Government, Karnataka.gov.in"
Government of Bihar,,,,,,,,,India,,,,,,Government,,,,,http://gov.bih.nic.in/,,,,,"State Government, Bihar government,Government site, Government,gov.bih.nic.in"
Government of Andhra Pradesh,,,,,,,,,India,,,,,,Government,,,,,http://www.aponline.gov.in/apportal/index.asp,,,,,"State Government, Andhra pradesh government, Government site, Government, aponline.gov.in"
Government Jobs,,,,,,,,,India,,,,,,Government,,,,,http://govtjobs.co.in/,,,,,"Government, Government job portal, Job portal,Government Jobs, govtjobs.co.in"
Employeement News,,,,,,,,,India,,,,,,Government,,,,,http://www.employmentnews.gov.in/,,,,,"Government, Government job portal, Job portal, Government Jobs, employmentnews.com, employyment news"
India Image,,,,,,,,,India,,,,,,Government,,,,,http://indiaimage.nic.in/,,,,,"Government, Central Government , Indiaimage.nic.in"
