"Java java",5,101010101,111111,2009,,,,,,,,,,,,,,1
"c++ c++",6,202020202,222222,2010,,,,,,,,,,,,,,2
"c c",4,3030303003,3333333,2011,,,,,,,,,,,,,,3
"DBMS DBMS",2,2310125002,4444444,2011,,,,,,,,,,,,,,2
"OS OS",1,524105120,5555555,2011,,,,,,,,,,,,,,6
"Tcp Tcp Ip Ip",2,534543534,66666666,2006,,,,,,,,,,,,,,5
"VB VB",3,5345435767,777777,2005,,,,,,,,,,,,,,5
"NetWork",4,76767868,88888888,2004,,,,,,,,,,,,,,2
"mOb C Mob C",1,6768787687,999999999,2002,,,,,,,,,,,,,,2
"Cn CN ",2,7686787687,1010101010,2001,,,,,,,,,,,,,,2
"OOP oop",3,787687878,11111111111,2000,,,,,,,,,,,,,,7
"Ld Ld",4,8768678686,121212121212,2005,,,,,,,,,,,,,,4
"Mupi Mupi",3,76878768,1313131313,2009,,,,,,,,,,,,,,4
"Dms",2,5435435,14141414114,2001,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,2
