"How Products Are Made :Aluminum",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Aluminum.html",,,,,"Aluminum",,,,,,,,,,"5-12","The metallic element aluminum is the third most plentiful element in the earth's crust, comprising 8% of the planet's soil and rocks (oxygen and silicon make up 47% and 28%, respectively). In nature, aluminum is found only in chemical compounds with other elements such as sulphur, silicon, and oxygen.",,,,,,,,,,,,,,
"How Products Are Made :Ambulance",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Ambulance.html",,,,,"Ambulance",,,,,,,,,,"5-12","An ambulance is a self-propelled vehicle specifically designed to transport critically sick or injured people to a medical facility. Most ambulances are motor vehicles, although helicopters, airplanes, and boats are also used.",,,,,,,,,,,,,,
"How Products Are Made :Antiperspirant/Deodorant Stick",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Antiperspirant-Deodorant-Stick.html",,,,,"Antiperspirant/Deodorant Stick",,,,,,,,,,"5-12","Antiperspirant/deodorant (APD) sticks are used to reduce underarm wetness and control body odor. These products are made by blending active ingredients with waxes, oils, and silicones and molding the mixture into stick form.",,,,,,,,,,,,,,
"How Products Are Made :Artificial Blood",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Artificial-Blood.html",,,,,"Artificial Blood",,,,,,,,,,"5-12","Artificial blood is a product made to act as a substitute for red blood cells. While true blood serves many different functions, artificial blood is designed for the sole purpose of transporting oxygen and carbon dioxide throughout the body.",,,,,,,,,,,,,,
"How Products Are Made :Artificial Flower",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Artificial-Flower.html",,,,,"Artificial Flower",,,,,,,,,,"5-12","Silk and other artificial flowers manufactured today are breathtakingly real and must be touched if they are to be distinguished from nature's own. Silk trees bring the outdoors into sterile offices, and flower arrangements change the color and feel of a room for a relatively small investment.",,,,,,,,,,,,,,
"How Products Are Made :Bean Bag Plush Toy",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Bean-Bag-Plush-Toy.html",,,,,"Bean Bag Plush Toy",,,,,,,,,,"5-12","Investors who worry about bull and bear markets should consider the alternatives—the moose, lobster, pink pig, platypus, and dolphin markets, just for starters. These stars in the investment firmament ""Chocolate the Moose,"" ""Pinchers the Lobster,"" ""Squealer the Pink Pig,"" ""Raspberry Patti the Platypus,"" and ""Flash the Dolphin"" are among the original nine Beanie Babies produced in 1993 by Ty Incorporated.",,,,,,,,,,,,,,
"How Products Are Made :Bed Sheet",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Bed-Sheet.html",,,,,"Bed Sheet",,,,,,,,,,"5-12","A bed sheet is a flat-woven textile that is used on a bed between the occupant of a bed and the warm blanket above. It is generally a rectangle of broadloomed fabric, meaning it is made without a center seam.",,,,,,,,,,,,,,
"How Products Are Made :Billboard",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Bed-Sheet.html",,,,,"Billboard",,,,,,,,,,"5-12","Billboard is the common term used to describe a type of outdoor advertising found along major highways. This name is most frequently given to large steel-framed signs, which are mounted on poles 20-100 ft (6.1-30.5 m) above the ground.",,,,,,,,,,,,,,
"How Products Are Made :Bioceramics",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Bioceramics.html",,,,,"Bioceramics",,,,,,,,,,"5-12","Over the last several decades, bioceramics have helped improve the quality of life for millions of people. These specially designed materials—polycrystalline aluminum oxide, hydroxyapatite (a mineral of calcium phosphate that is also the major component of vertebrate bone), partially stabilized zirconium oxide, bioactive glass or glass-ceramics, and polyethylene-hydroxyapatite composites—have been successfully used for the repair, reconstruction, and replacement of diseased or damaged parts of the body, especially bone.",,,,,,,,,,,,,,
"How Products Are Made :Bisque Porcelain Figurine",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Bisque-Porcelain-Figurine.html",,,,,"Bisque Porcelain Figurine",,,,,,,,,,"5-12","Bisque porcelain is unglazed, white ceramic ware that is hard-fired, non-poreous, and translucent. Today's bisque porcelain industry has arisen out of hundreds of years of experimentation with clay products and untold sources of artistic inspiration.",,,,,,,,,,,,,,
